Program: faiss Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.462 %	0.52226 %	0.576341 %	0.6295452 %	|	0.8445 %	0.9704 %	0.90805 %	0.9859 %	0.976 %	0.936428 %	181951.26128196716
4000	50	16	|	768	-1	dot_product
0.4622 %	0.52246 %	0.576734 %	0.6303804 %	|	0.8453 %	0.9718 %	0.90932 %	0.9876 %	0.97797 %	0.938506 %	189614.52078819275
4000	50	16	|	1024	-1	dot_product
0.4625 %	0.52292 %	0.577829 %	0.6326142 %	|	0.8468 %	0.9752 %	0.91249 %	0.9914 %	0.98323 %	0.944558 %	221281.6936969757
4000	100	16	|	1	-1	dot_product
0.2935 %	0.28222 %	0.225836 %	0.1320983 %	|	0.3358 %	0.3363 %	0.29565 %	0.3363 %	0.29565 %	0.228895 %	6278.895378112793
4000	100	16	|	16	-1	dot_product
0.6374 %	0.66293 %	0.629152 %	0.5146215 %	|	0.7742 %	0.7752 %	0.73556 %	0.7752 %	0.7356 %	0.661044 %	40715.301275253296
4000	100	16	|	32	-1	dot_product
0.6835 %	0.71666 %	0.70137 %	0.6141503 %	|	0.8403 %	0.8421 %	0.8101 %	0.8421 %	0.8102 %	0.748787 %	61573.6300945282
4000	100	16	|	64	-1	dot_product
0.7186 %	0.75512 %	0.755284 %	0.6990141 %	|	0.8943 %	0.8967 %	0.86902 %	0.8967 %	0.86919 %	0.821045 %	91377.02918052673
4000	100	16	|	128	-1	dot_product
0.7417 %	0.78041 %	0.793492 %	0.7654827 %	|	0.931 %	0.9343 %	0.91356 %	0.9343 %	0.91376 %	0.879225 %	134516.64113998413
4000	100	16	|	256	-1	dot_product
0.7598 %	0.79826 %	0.81909 %	0.8127858 %	|	0.9581 %	0.9621 %	0.94747 %	0.9621 %	0.94778 %	0.924157 %	198924.40581321716
4000	100	16	|	320	-1	dot_product
0.7629 %	0.80168 %	0.825049 %	0.8242442 %	|	0.9644 %	0.9686 %	0.95501 %	0.9686 %	0.95538 %	0.935852 %	224912.09769248962
4000	100	16	|	384	-1	dot_product
0.7654 %	0.80479 %	0.829349 %	0.8324474 %	|	0.9692 %	0.9735 %	0.96164 %	0.9735 %	0.96204 %	0.944582 %	248137.34412193298
4000	100	16	|	448	-1	dot_product
0.7677 %	0.80708 %	0.832595 %	0.8386002 %	|	0.9739 %	0.9782 %	0.96659 %	0.9782 %	0.96701 %	0.951338 %	269878.0608177185
4000	100	16	|	512	-1	dot_product
