Program: faissGPU Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
1000	20	256	|	576	-1	dot_product
0.2643 %	0.47785 %	0.646833 %	0.7032473 %	|	0.6976 %	0.9275 %	0.89006 %	0.9735 %	0.9671 %	0.94555 %	2079.0719985961914
1000	20	256	|	640	-1	dot_product
0.2645 %	0.47821 %	0.647353 %	0.7042541 %	|	0.6985 %	0.9291 %	0.89145 %	0.9758 %	0.96936 %	0.94799 %	2171.586513519287
1000	20	256	|	704	-1	dot_product
0.2648 %	0.47854 %	0.647912 %	0.7053229 %	|	0.699 %	0.9301 %	0.89282 %	0.9776 %	0.97154 %	0.950532 %	2405.2741527557373
1000	20	256	|	768	-1	dot_product
0.265 %	0.47877 %	0.648486 %	0.7063419 %	|	0.6996 %	0.9313 %	0.89401 %	0.9792 %	0.97334 %	0.952937 %	2776.05938911438
1000	25	256	|	1	-1	dot_product
0.2351 %	0.36006 %	0.424369 %	0.3223601 %	|	0.4689 %	0.5191 %	0.50482 %	0.5208 %	0.50824 %	0.462356 %	664.5364761352539
1000	25	256	|	16	-1	dot_product
0.3285 %	0.52208 %	0.673153 %	0.6944455 %	|	0.7466 %	0.8807 %	0.85392 %	0.8924 %	0.87835 %	0.860204 %	757.1077346801758
1000	25	256	|	32	-1	dot_product
0.3345 %	0.53006 %	0.684595 %	0.7152653 %	|	0.7627 %	0.9044 %	0.87606 %	0.9188 %	0.90477 %	0.887617 %	804.2893409729004
1000	25	256	|	64	-1	dot_product
0.3366 %	0.53593 %	0.692616 %	0.729368 %	|	0.772 %	0.9206 %	0.89352 %	0.9366 %	0.92598 %	0.908486 %	880.8553218841553
1000	25	256	|	128	-1	dot_product
0.3383 %	0.54042 %	0.698386 %	0.7394257 %	|	0.7791 %	0.9326 %	0.90703 %	0.9507 %	0.94299 %	0.924941 %	1015.5215263366699
1000	25	256	|	256	-1	dot_product
0.3397 %	0.54343 %	0.703554 %	0.7474048 %	|	0.7844 %	0.9438 %	0.91864 %	0.9637 %	0.9579 %	0.939661 %	1324.6448040008545
1000	25	256	|	320	-1	dot_product
0.3401 %	0.54417 %	0.704857 %	0.7498497 %	|	0.7858 %	0.9471 %	0.92151 %	0.9684 %	0.96191 %	0.944184 %	1467.000961303711
1000	25	256	|	384	-1	dot_product
0.3408 %	0.54484 %	0.706103 %	0.751938 %	|	0.7871 %	0.9502 %	0.92421 %	0.972 %	0.96539 %	0.948184 %	1708.9643478393555
1000	25	256	|	448	-1	dot_product
0.3407 %	0.54536 %	0.707074 %	0.7536753 %	|	0.7875 %	0.9519 %	0.92637 %	0.9743 %	0.96822 %	0.95152 %	1856.5773963928223
1000	25	256	|	512	-1	dot_product
0.3407 %	0.5458 %	0.707904 %	0.7552478 %	|	0.7883 %	0.9537 %	0.92816 %	0.9768 %	0.97053 %	0.954469 %	2123.3513355255127
1000	25	256	|	576	-1	dot_product
0.3408 %	0.5462 %	0.70868 %	0.7567151 %	|	0.7891 %	0.9553 %	0.93007 %	0.9785 %	0.97307 %	0.95743 %	2347.266674041748
1000	25	256	|	640	-1	dot_product
