Program: faiss Topk: 1000 Num_split: 20 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.2825 %	0.40387 %	0.480839 %	0.5508558 %	|	0.747 %	0.9697 %	0.87604 %	0.9988 %	0.99443 %	0.938018 %	903457.5319290161
7000	16	256	|	576	-1	squared_l2
0.2825 %	0.40387 %	0.480842 %	0.550858 %	|	0.747 %	0.9697 %	0.87604 %	0.9988 %	0.99443 %	0.938024 %	1013887.5770568848
7000	16	256	|	640	-1	squared_l2
0.2825 %	0.40387 %	0.480842 %	0.5508593 %	|	0.747 %	0.9697 %	0.87604 %	0.9988 %	0.99444 %	0.938026 %	1119252.6817321777
7000	16	256	|	704	-1	squared_l2
0.2825 %	0.40387 %	0.480843 %	0.5508607 %	|	0.747 %	0.9698 %	0.87605 %	0.9989 %	0.99445 %	0.938032 %	1220649.676322937
7000	16	256	|	768	-1	squared_l2
0.2825 %	0.40387 %	0.480842 %	0.5508615 %	|	0.747 %	0.9698 %	0.87605 %	0.9989 %	0.99445 %	0.938034 %	1320031.8336486816
7000	16	256	|	1024	-1	squared_l2
0.2825 %	0.40387 %	0.480842 %	0.5508626 %	|	0.747 %	0.9698 %	0.87605 %	0.9989 %	0.99445 %	0.938035 %	1735745.5682754517
7000	16	256	|	1280	-1	squared_l2
0.2825 %	0.40387 %	0.480842 %	0.5508626 %	|	0.747 %	0.9698 %	0.87605 %	0.9989 %	0.99445 %	0.938035 %	-1
7000	16	256	|	1536	-1	squared_l2
0.2825 %	0.40387 %	0.480842 %	0.5508626 %	|	0.747 %	0.9698 %	0.87605 %	0.9989 %	0.99445 %	0.938035 %	-1
7000	16	256	|	2048	-1	squared_l2
0.2825 %	0.40387 %	0.480842 %	0.5508626 %	|	0.747 %	0.9698 %	0.87605 %	0.9989 %	0.99445 %	0.938035 %	-1
8000	64	256	|	1	-1	squared_l2
0.3831 %	0.39788 %	0.361385 %	0.3083921 %	|	0.4548 %	0.4548 %	0.41864 %	0.4548 %	0.41864 %	0.369775 %	24831.371307373047
8000	64	256	|	16	-1	squared_l2
0.7207 %	0.7824 %	0.800307 %	0.7894229 %	|	0.9402 %	0.9414 %	0.92767 %	0.9414 %	0.92769 %	0.896932 %	137021.58451080322
8000	64	256	|	32	-1	squared_l2
0.7431 %	0.80538 %	0.833046 %	0.8393955 %	|	0.9768 %	0.9781 %	0.97157 %	0.9781 %	0.97159 %	0.954437 %	248060.99891662598
8000	64	256	|	64	-1	squared_l2
0.7507 %	0.81361 %	0.846999 %	0.8638125 %	|	0.9918 %	0.9931 %	0.99043 %	0.9931 %	0.99045 %	0.983558 %	454995.5654144287
8000	64	256	|	128	-1	squared_l2
0.7538 %	0.81648 %	0.852072 %	0.8734741 %	|	0.9973 %	0.9986 %	0.99758 %	0.9986 %	0.9976 %	0.995561 %	855121.1023330688
8000	64	256	|	256	-1	squared_l2
0.7546 %	0.81726 %	0.853424 %	0.8764846 %	|	0.9985 %	0.9998 %	0.99961 %	0.9998 %	0.99963 %	0.999148 %	1626921.0290908813
8000	64	256	|	320	-1	squared_l2
0.7546 %	0.81734 %	0.853556 %	0.8768428 %	|	0.9985 %	0.9998 %	0.99985 %	0.9998 %	0.99987 %	0.999539 %	1998562.2453689575
8000	64	256	|	384	-1	squared_l2
0.7546 %	0.81735 %	0.853634 %	0.8770207 %	|	0.9985 %	0.9999 %	0.99989 %	0.9999 %	0.99991 %	0.999719 %	2373081.703186035
8000	64	256	|	448	-1	squared_l2
0.7546 %	0.81736 %	0.853671 %	0.8771167 %	|	0.9985 %	0.9999 %	0.99991 %	0.9999 %	0.99993 %	0.999817 %	2746433.844566345
8000	64	256	|	512	-1	squared_l2
0.7546 %	0.81737 %	0.853691 %	0.877171 %	|	0.9985 %	0.9999 %	0.99992 %	0.9999 %	0.99994 %	0.999878 %	3108170.5045700073
8000	64	256	|	576	-1	squared_l2
0.7546 %	0.81741 %	0.853707 %	0.8772051 %	|	0.9986 %	1.0 %	0.99996 %	1.0 %	0.99998 %	0.99992 %	3478817.310333252
8000	64	256	|	640	-1	squared_l2
