Program: faissGPU Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.412 %	0.522 %	0.58909 %	0.64798 %	|	0.874 %	0.994 %	0.9593 %	1.0 %	0.9992 %	0.98641 %	186.47289276123047
1500	32	256	|	384	-1	squared_l2
0.412 %	0.522 %	0.58912 %	0.648058 %	|	0.874 %	0.994 %	0.9593 %	1.0 %	0.9995 %	0.98676 %	202.9414176940918
1500	32	256	|	448	-1	squared_l2
0.412 %	0.522 %	0.58913 %	0.648088 %	|	0.874 %	0.994 %	0.9594 %	1.0 %	0.9997 %	0.98688 %	191.96820259094238
1500	32	256	|	512	-1	squared_l2
0.412 %	0.522 %	0.58913 %	0.648101 %	|	0.874 %	0.994 %	0.9594 %	1.0 %	0.9997 %	0.98692 %	202.64673233032227
1500	32	256	|	576	-1	squared_l2
0.412 %	0.522 %	0.58913 %	0.648111 %	|	0.874 %	0.994 %	0.9594 %	1.0 %	0.9997 %	0.987 %	213.4113311767578
1500	32	256	|	640	-1	squared_l2
0.412 %	0.522 %	0.58914 %	0.648112 %	|	0.874 %	0.994 %	0.9594 %	1.0 %	0.9997 %	0.98702 %	238.01589012145996
1500	32	256	|	704	-1	squared_l2
0.412 %	0.522 %	0.58914 %	0.648111 %	|	0.874 %	0.994 %	0.9594 %	1.0 %	0.9997 %	0.98702 %	257.39073753356934
1500	32	256	|	768	-1	squared_l2
0.412 %	0.522 %	0.58914 %	0.648111 %	|	0.874 %	0.994 %	0.9594 %	1.0 %	0.9997 %	0.98703 %	269.5934772491455
1500	32	256	|	1024	-1	squared_l2
0.412 %	0.522 %	0.58914 %	0.648113 %	|	0.874 %	0.994 %	0.9594 %	1.0 %	0.9997 %	0.98703 %	347.70774841308594
1500	32	256	|	1280	-1	squared_l2
0.412 %	0.522 %	0.58914 %	0.648113 %	|	0.874 %	0.994 %	0.9594 %	1.0 %	0.9997 %	0.98703 %	453.157901763916
1500	64	256	|	1	-1	squared_l2
0.306 %	0.3208 %	0.25712 %	0.151394 %	|	0.367 %	0.367 %	0.3388 %	0.367 %	0.3388 %	0.25925 %	91.08614921569824
1500	64	256	|	16	-1	squared_l2
0.633 %	0.7114 %	0.72611 %	0.662152 %	|	0.914 %	0.914 %	0.8843 %	0.914 %	0.8843 %	0.82185 %	100.72088241577148
1500	64	256	|	32	-1	squared_l2
0.652 %	0.7387 %	0.77333 %	0.75654 %	|	0.958 %	0.96 %	0.9469 %	0.96 %	0.9469 %	0.91023 %	105.5917739868164
1500	64	256	|	64	-1	squared_l2
0.662 %	0.7524 %	0.79569 %	0.808882 %	|	0.982 %	0.985 %	0.9806 %	0.985 %	0.9806 %	0.96315 %	115.51809310913086
1500	64	256	|	128	-1	squared_l2
0.664 %	0.7561 %	0.80434 %	0.8318 %	|	0.99 %	0.993 %	0.9942 %	0.993 %	0.9942 %	0.98832 %	134.7196102142334
1500	64	256	|	256	-1	squared_l2
0.666 %	0.7572 %	0.80692 %	0.839716 %	|	0.995 %	0.998 %	0.9985 %	0.998 %	0.9986 %	0.99737 %	185.93358993530273
1500	64	256	|	320	-1	squared_l2
0.667 %	0.7574 %	0.80724 %	0.8407 %	|	0.997 %	1.0 %	0.9993 %	1.0 %	0.9994 %	0.99868 %	191.8773651123047
1500	64	256	|	384	-1	squared_l2
0.667 %	0.7575 %	0.80739 %	0.841198 %	|	0.997 %	1.0 %	0.9997 %	1.0 %	0.9998 %	0.99936 %	216.28236770629883
1500	64	256	|	448	-1	squared_l2
0.667 %	0.7575 %	0.80742 %	0.841458 %	|	0.997 %	1.0 %	0.9999 %	1.0 %	1.0 %	0.99958 %	240.10396003723145
1500	64	256	|	512	-1	squared_l2
0.667 %	0.7575 %	0.80743 %	0.841609 %	|	0.997 %	1.0 %	0.9999 %	1.0 %	1.0 %	0.9997 %	262.3333930969238
1500	64	256	|	576	-1	squared_l2
0.667 %	0.7575 %	0.80744 %	0.841687 %	|	0.997 %	1.0 %	0.9999 %	1.0 %	1.0 %	0.99986 %	293.41793060302734
1500	64	256	|	640	-1	squared_l2
0.667 %	0.7575 %	0.80744 %	0.841745 %	|	0.997 %	1.0 %	0.9999 %	1.0 %	1.0 %	0.99992 %	316.39671325683594
1500	64	256	|	704	-1	squared_l2
0.667 %	0.7575 %	0.80745 %	0.841775 %	|	0.997 %	1.0 %	0.9999 %	1.0 %	1.0 %	0.99995 %	364.02392387390137
1500	64	256	|	768	-1	squared_l2
0.667 %	0.7575 %	0.80745 %	0.841785 %	|	0.997 %	1.0 %	0.9999 %	1.0 %	1.0 %	0.99996 %	389.50610160827637
1500	64	256	|	1024	-1	squared_l2
0.667 %	0.7575 %	0.80746 %	0.841806 %	|	0.997 %	1.0 %	0.9999 %	1.0 %	1.0 %	1.0 %	548.0332374572754
1500	64	256	|	1280	-1	squared_l2
0.667 %	0.7575 %	0.80746 %	0.841809 %	|	0.997 %	1.0 %	0.9999 %	1.0 %	1.0 %	1.0 %	703.812837600708
2000	32	256	|	1	-1	squared_l2
0.242 %	0.2615 %	0.22532 %	0.130936 %	|	0.366 %	0.37 %	0.312 %	0.37 %	0.3122 %	0.23552 %	127.87652015686035
2000	32	256	|	16	-1	squared_l2
0.398 %	0.5051 %	0.54773 %	0.546003 %	|	0.823 %	0.904 %	0.85 %	0.905 %	0.8615 %	0.79016 %	137.09449768066406
2000	32	256	|	32	-1	squared_l2
0.407 %	0.5159 %	0.57246 %	0.603145 %	|	0.855 %	0.953 %	0.9124 %	0.955 %	0.9327 %	0.88618 %	140.394926071167
2000	32	256	|	64	-1	squared_l2
0.409 %	0.5197 %	0.5828 %	0.632667 %	|	0.866 %	0.979 %	0.9428 %	0.983 %	0.9734 %	0.94589 %	146.35658264160156
2000	32	256	|	128	-1	squared_l2
0.411 %	0.5215 %	0.58651 %	0.644837 %	|	0.869 %	0.988 %	0.9555 %	0.993 %	0.992 %	0.97524 %	158.44154357910156
2000	32	256	|	256	-1	squared_l2
0.411 %	0.5218 %	0.58728 %	0.648613 %	|	0.87 %	0.992 %	0.9582 %	0.997 %	0.9982 %	0.98608 %	181.7641258239746
2000	32	256	|	320	-1	squared_l2
0.411 %	0.5218 %	0.58731 %	0.648994 %	|	0.87 %	0.992 %	0.9582 %	0.997 %	0.9983 %	0.98717 %	192.0628547668457
2000	32	256	|	384	-1	squared_l2
