Program: scann Topk: 1000 Num_split: 1 Batch: 128
L	Threashold	m	|	w	r	Metric
0.1325 %	0.48476 %	0.607754 %	0.4834298 %	|	0.6277 %	0.8917 %	0.84693 %	0.9643 %	0.95476 %	0.882155 %	601.1471748352051
800	0.2	25	|	250	-1	squared_l2
0.133 %	0.48477 %	0.60714 %	0.4783482 %	|	0.6285 %	0.8946 %	0.84836 %	0.9675 %	0.95692 %	0.881339 %	651.0059833526611
800	0.2	25	|	310	-1	squared_l2
0.1334 %	0.48492 %	0.606473 %	0.4768141 %	|	0.6293 %	0.8994 %	0.85164 %	0.9739 %	0.96164 %	0.880606 %	765.1503086090088
800	0.2	25	|	400	-1	squared_l2
0.134 %	0.48403 %	0.605397 %	0.4743412 %	|	0.6293 %	0.9027 %	0.85362 %	0.9787 %	0.96527 %	0.879923 %	926.7261028289795
800	0.2	25	|	500	-1	squared_l2
0.1346 %	0.48326 %	0.604169 %	0.4724005 %	|	0.63 %	0.9046 %	0.85457 %	0.9826 %	0.96784 %	0.879425 %	1110.9247207641602
800	0.2	25	|	800	-1	squared_l2
0.1332 %	0.48109 %	0.600089 %	0.4686556 %	|	0.6279 %	0.9041 %	0.85262 %	0.9847 %	0.96858 %	0.877044 %	1535.7165336608887
800	0.2	20	|	1	-1	squared_l2
0.0362 %	0.32519 %	0.160931 %	0.0668074 %	|	0.4101 %	0.4834 %	0.41209 %	0.4949 %	0.4322 %	0.202339 %	89.4167423248291
800	0.2	20	|	2	-1	squared_l2
0.042 %	0.49605 %	0.258961 %	0.1149037 %	|	0.5578 %	0.6982 %	0.67558 %	0.7268 %	0.71896 %	0.337985 %	114.0892505645752
800	0.2	20	|	4	-1	squared_l2
0.044 %	0.50399 %	0.325872 %	0.1605897 %	|	0.5762 %	0.765 %	0.74885 %	0.8106 %	0.81375 %	0.44286 %	141.02911949157715
800	0.2	20	|	8	-1	squared_l2
0.0455 %	0.49617 %	0.417482 %	0.2212378 %	|	0.5723 %	0.7937 %	0.78089 %	0.8501 %	0.85992 %	0.587635 %	164.11662101745605
800	0.2	20	|	16	-1	squared_l2
0.0475 %	0.49357 %	0.580672 %	0.2971226 %	|	0.5712 %	0.8091 %	0.79525 %	0.8739 %	0.88312 %	0.821887 %	188.62509727478027
800	0.2	20	|	25	-1	squared_l2
0.0483 %	0.49413 %	0.580017 %	0.3120828 %	|	0.5756 %	0.8183 %	0.80176 %	0.8862 %	0.89409 %	0.837602 %	210.98041534423828
800	0.2	20	|	30	-1	squared_l2
0.0486 %	0.49416 %	0.578167 %	0.3142549 %	|	0.5769 %	0.8221 %	0.80376 %	0.8907 %	0.8975 %	0.843217 %	221.77529335021973
800	0.2	20	|	35	-1	squared_l2
0.0489 %	0.49431 %	0.574623 %	0.3584586 %	|	0.5772 %	0.8246 %	0.80578 %	0.8945 %	0.90081 %	0.845079 %	236.34886741638184
800	0.2	20	|	40	-1	squared_l2
0.0494 %	0.49436 %	0.573166 %	0.3644696 %	|	0.5783 %	0.8289 %	0.80817 %	0.8999 %	0.90453 %	0.845093 %	245.61715126037598
800	0.2	20	|	45	-1	squared_l2
0.0501 %	0.49433 %	0.571625 %	0.3741074 %	|	0.5803 %	0.8326 %	0.81027 %	0.9047 %	0.90765 %	0.844623 %	260.33663749694824
800	0.2	20	|	50	-1	squared_l2
0.051 %	0.49503 %	0.570739 %	0.3859866 %	|	0.5811 %	0.836 %	0.81299 %	0.9087 %	0.91107 %	0.844191 %	268.85318756103516
800	0.2	20	|	55	-1	squared_l2
0.0515 %	0.49515 %	0.570347 %	0.3827368 %	|	0.582 %	0.8387 %	0.81463 %	0.912 %	0.91347 %	0.845412 %	278.5193920135498
800	0.2	20	|	60	-1	squared_l2
0.0517 %	0.49513 %	0.570287 %	0.3809699 %	|	0.5821 %	0.8404 %	0.81593 %	0.9147 %	0.91552 %	0.84696 %	293.35689544677734
800	0.2	20	|	65	-1	squared_l2
