Program: scann Topk: 1000 Num_split: 20 Batch: 128
L	Threashold	m	|	w	r	Metric
0.1464 %	0.24429 %	0.318499 %	0.3963476 %	|	0.4785 %	0.8317 %	0.64723 %	0.9746 %	0.93205 %	0.769427 %	1972194.8328018188
7000	0.2	32	|	6144	-1	squared_l2
0.1464 %	0.24429 %	0.318499 %	0.3963476 %	|	0.4785 %	0.8317 %	0.64723 %	0.9746 %	0.93205 %	0.769427 %	2153737.624645233
7000	0.2	32	|	6656	-1	squared_l2
0.1464 %	0.24429 %	0.318499 %	0.3963476 %	|	0.4785 %	0.8317 %	0.64723 %	0.9746 %	0.93205 %	0.769427 %	2345482.4693202972
7000	0.2	64	|	1	-1	squared_l2
0.1956 %	0.25987 %	0.272665 %	0.2635784 %	|	0.3909 %	0.4492 %	0.39951 %	0.4574 %	0.42109 %	0.366952 %	3063.917636871338
7000	0.2	64	|	16	-1	squared_l2
0.3154 %	0.42619 %	0.491118 %	0.5403816 %	|	0.74 %	0.9229 %	0.84635 %	0.9463 %	0.92764 %	0.866638 %	15831.81357383728
7000	0.2	64	|	32	-1	squared_l2
0.3176 %	0.43322 %	0.503109 %	0.5612499 %	|	0.757 %	0.9517 %	0.87721 %	0.9767 %	0.96737 %	0.915174 %	27458.112955093384
7000	0.2	64	|	64	-1	squared_l2
0.3185 %	0.43595 %	0.508077 %	0.5705183 %	|	0.7647 %	0.967 %	0.89129 %	0.9929 %	0.98634 %	0.938435 %	51240.34380912781
7000	0.2	64	|	128	-1	squared_l2
0.3195 %	0.43672 %	0.509367 %	0.5737198 %	|	0.7679 %	0.9708 %	0.89462 %	0.997 %	0.99185 %	0.946664 %	97862.20121383667
7000	0.2	64	|	256	-1	squared_l2
0.3193 %	0.4368 %	0.509578 %	0.5744769 %	|	0.7671 %	0.9714 %	0.89564 %	0.9975 %	0.99341 %	0.948875 %	189270.35760879517
7000	0.2	64	|	320	-1	squared_l2
0.3194 %	0.43682 %	0.509555 %	0.5745291 %	|	0.7672 %	0.9713 %	0.89556 %	0.9976 %	0.99355 %	0.94903 %	234379.78434562683
7000	0.2	64	|	384	-1	squared_l2
0.3195 %	0.43668 %	0.509557 %	0.574548 %	|	0.767 %	0.9713 %	0.89577 %	0.9976 %	0.99365 %	0.949111 %	279360.79478263855
7000	0.2	64	|	448	-1	squared_l2
0.3195 %	0.43679 %	0.509541 %	0.574558 %	|	0.7671 %	0.9713 %	0.89574 %	0.9976 %	0.99364 %	0.949173 %	324285.17723083496
7000	0.2	64	|	512	-1	squared_l2
0.3195 %	0.43681 %	0.509541 %	0.5745558 %	|	0.7671 %	0.9713 %	0.89565 %	0.9976 %	0.99365 %	0.949189 %	368916.91422462463
7000	0.2	64	|	576	-1	squared_l2
0.3195 %	0.43688 %	0.509523 %	0.574557 %	|	0.7672 %	0.9713 %	0.89565 %	0.9976 %	0.99366 %	0.949195 %	413350.6691455841
7000	0.2	64	|	640	-1	squared_l2
0.3195 %	0.43685 %	0.50951 %	0.5745539 %	|	0.7672 %	0.9713 %	0.89569 %	0.9976 %	0.99366 %	0.949188 %	457807.2872161865
7000	0.2	64	|	704	-1	squared_l2
0.3195 %	0.43686 %	0.509508 %	0.5745567 %	|	0.7673 %	0.9713 %	0.89565 %	0.9976 %	0.99366 %	0.949199 %	502144.22845840454
7000	0.2	64	|	768	-1	squared_l2
0.3195 %	0.43683 %	0.509532 %	0.5745505 %	|	0.7673 %	0.9713 %	0.8957 %	0.9976 %	0.99366 %	0.949199 %	546395.2128887177
7000	0.2	64	|	1024	-1	squared_l2
0.3195 %	0.43683 %	0.509531 %	0.5745494 %	|	0.7673 %	0.9713 %	0.89566 %	0.9976 %	0.99366 %	0.949211 %	722495.9115982056
7000	0.2	64	|	1280	-1	squared_l2
0.3195 %	0.43684 %	0.509527 %	0.5745492 %	|	0.7673 %	0.9713 %	0.8957 %	0.9976 %	0.99367 %	0.949215 %	897572.53241539
7000	0.2	64	|	1536	-1	squared_l2
0.3195 %	0.43684 %	0.50952 %	0.574547 %	|	0.7673 %	0.9713 %	0.8957 %	0.9976 %	0.99367 %	0.949212 %	1072063.151359558
7000	0.2	64	|	2048	-1	squared_l2
0.3195 %	0.43685 %	0.509516 %	0.5745493 %	|	0.7673 %	0.9713 %	0.8957 %	0.9976 %	0.99367 %	0.949216 %	1419889.8978233337
7000	0.2	64	|	2560	-1	squared_l2
0.3195 %	0.43685 %	0.509517 %	0.5745491 %	|	0.7673 %	0.9713 %	0.8957 %	0.9976 %	0.99367 %	0.949218 %	1767416.023015976
7000	0.2	64	|	3072	-1	squared_l2
0.3195 %	0.43685 %	0.509516 %	0.5745487 %	|	0.7673 %	0.9713 %	0.8957 %	0.9976 %	0.99367 %	0.949218 %	2115831.9234848022
7000	0.2	64	|	4096	-1	squared_l2
0.3195 %	0.43685 %	0.509516 %	0.5745485 %	|	0.7673 %	0.9713 %	0.8957 %	0.9976 %	0.99367 %	0.949218 %	2823928.1544685364
7000	0.2	64	|	4608	-1	squared_l2
0.3195 %	0.43685 %	0.509516 %	0.5745486 %	|	0.7673 %	0.9713 %	0.8957 %	0.9976 %	0.99367 %	0.949218 %	3181974.1497039795
7000	0.2	64	|	5120	-1	squared_l2
0.3195 %	0.43685 %	0.509516 %	0.5745486 %	|	0.7673 %	0.9713 %	0.8957 %	0.9976 %	0.99367 %	0.949218 %	3546167.423725128
7000	0.2	64	|	5632	-1	squared_l2
0.3195 %	0.43685 %	0.509516 %	0.5745488 %	|	0.7673 %	0.9713 %	0.8957 %	0.9976 %	0.99367 %	0.949218 %	3913681.8764209747
7000	0.2	64	|	6144	-1	squared_l2
0.3195 %	0.43685 %	0.509516 %	0.5745488 %	|	0.7673 %	0.9713 %	0.8957 %	0.9976 %	0.99367 %	0.949218 %	4284170.381069183
7000	0.2	64	|	6656	-1	squared_l2
0.3195 %	0.43685 %	0.509516 %	0.5745488 %	|	0.7673 %	0.9713 %	0.8957 %	0.9976 %	0.99367 %	0.949218 %	4671194.232940674
7000	0.2	128	|	1	-1	squared_l2
0.3305 %	0.36858 %	0.347145 %	0.3038987 %	|	0.4488 %	0.4577 %	0.42065 %	0.4589 %	0.42299 %	0.374176 %	3636.8093490600586
7000	0.2	128	|	16	-1	squared_l2
0.6094 %	0.70264 %	0.73779 %	0.7453749 %	|	0.9297 %	0.9455 %	0.92828 %	0.9471 %	0.93271 %	0.902533 %	29446.09260559082
7000	0.2	128	|	32	-1	squared_l2
0.6242 %	0.7206 %	0.764708 %	0.7872801 %	|	0.9601 %	0.9763 %	0.96869 %	0.9779 %	0.97313 %	0.957328 %	51124.491930007935
7000	0.2	128	|	64	-1	squared_l2
0.6317 %	0.72833 %	0.776222 %	0.8071416 %	|	0.9764 %	0.993 %	0.98734 %	0.9946 %	0.99178 %	0.984569 %	98262.99715042114
7000	0.2	128	|	128	-1	squared_l2
