Program: scann Topk: 1000 Num_split: 1 Batch: 128
L	Threashold	m	|	w	r	Metric
0.3741 %	0.549 %	0.692432 %	0.7496648 %	|	0.7643 %	0.9093 %	0.884 %	0.9306 %	0.92248 %	0.907969 %	420.05300521850586
800	0.2	50	|	200	-1	dot_product
0.3754 %	0.55079 %	0.695036 %	0.7516811 %	|	0.7674 %	0.9137 %	0.88895 %	0.9362 %	0.92869 %	0.913884 %	464.96105194091797
800	0.2	50	|	220	-1	dot_product
0.3756 %	0.55187 %	0.696746 %	0.7529826 %	|	0.7695 %	0.9168 %	0.89246 %	0.94 %	0.93298 %	0.917776 %	504.9564838409424
800	0.2	50	|	250	-1	dot_product
0.3766 %	0.55341 %	0.699125 %	0.7548291 %	|	0.7734 %	0.9224 %	0.89684 %	0.9464 %	0.93861 %	0.923274 %	554.4016361236572
800	0.2	50	|	310	-1	dot_product
0.3783 %	0.55604 %	0.703387 %	0.7581297 %	|	0.7791 %	0.9322 %	0.90503 %	0.9576 %	0.94902 %	0.933402 %	648.540735244751
800	0.2	50	|	400	-1	dot_product
0.3811 %	0.55948 %	0.7091 %	0.7625114 %	|	0.7861 %	0.9428 %	0.91589 %	0.9701 %	0.96228 %	0.947062 %	797.687292098999
800	0.2	50	|	500	-1	dot_product
0.3838 %	0.56228 %	0.713908 %	0.7666108 %	|	0.7917 %	0.9525 %	0.92557 %	0.9808 %	0.97456 %	0.959891 %	950.9899616241455
800	0.2	50	|	800	-1	dot_product
0.3861 %	0.56609 %	0.722831 %	0.7767771 %	|	0.7977 %	0.9655 %	0.94134 %	0.9968 %	0.99488 %	0.987489 %	1415.4391288757324
800	0.2	25	|	1	-1	dot_product
0.1082 %	0.22463 %	0.350405 %	0.2896055 %	|	0.3045 %	0.4358 %	0.42662 %	0.4483 %	0.44876 %	0.435574 %	73.97961616516113
800	0.2	25	|	2	-1	dot_product
0.1243 %	0.2605 %	0.417219 %	0.4228955 %	|	0.3636 %	0.5544 %	0.53446 %	0.5809 %	0.58227 %	0.576804 %	95.71528434753418
800	0.2	25	|	4	-1	dot_product
0.1338 %	0.28281 %	0.456578 %	0.5117403 %	|	0.4041 %	0.6406 %	0.61263 %	0.6864 %	0.69521 %	0.689161 %	105.53622245788574
800	0.2	25	|	8	-1	dot_product
0.1415 %	0.29581 %	0.476012 %	0.5529453 %	|	0.43 %	0.6934 %	0.65678 %	0.7655 %	0.77209 %	0.761468 %	117.74468421936035
800	0.2	25	|	16	-1	dot_product
0.1444 %	0.30112 %	0.48403 %	0.5685333 %	|	0.4416 %	0.7217 %	0.67811 %	0.8148 %	0.81629 %	0.798479 %	140.01011848449707
800	0.2	25	|	25	-1	dot_product
0.1454 %	0.3033 %	0.486738 %	0.5725237 %	|	0.4467 %	0.734 %	0.68586 %	0.8384 %	0.83482 %	0.811642 %	159.52038764953613
800	0.2	25	|	30	-1	dot_product
0.1459 %	0.30429 %	0.48766 %	0.5735128 %	|	0.4487 %	0.7384 %	0.68863 %	0.8473 %	0.84083 %	0.815457 %	168.83301734924316
800	0.2	25	|	35	-1	dot_product
0.146 %	0.30467 %	0.488432 %	0.5741592 %	|	0.4496 %	0.742 %	0.69073 %	0.8537 %	0.8454 %	0.818369 %	175.91118812561035
800	0.2	25	|	40	-1	dot_product
0.146 %	0.30508 %	0.488984 %	0.5746016 %	|	0.45 %	0.7436 %	0.69225 %	0.8568 %	0.84866 %	0.820632 %	182.17945098876953
800	0.2	25	|	45	-1	dot_product
0.1461 %	0.30543 %	0.489456 %	0.5749359 %	|	0.4511 %	0.7457 %	0.69372 %	0.8611 %	0.85187 %	0.822518 %	191.01405143737793
800	0.2	25	|	50	-1	dot_product
0.1462 %	0.30574 %	0.48993 %	0.5752393 %	|	0.4515 %	0.747 %	0.69495 %	0.8638 %	0.85445 %	0.824153 %	202.09288597106934
800	0.2	25	|	55	-1	dot_product
0.1465 %	0.30615 %	0.490334 %	0.5754476 %	|	0.4529 %	0.7489 %	0.69613 %	0.8669 %	0.85668 %	0.825536 %	209.11860466003418
800	0.2	25	|	60	-1	dot_product
0.1465 %	0.30641 %	0.490658 %	0.5756276 %	|	0.4536 %	0.7501 %	0.69716 %	0.8702 %	0.85881 %	0.826806 %	216.8588638305664
800	0.2	25	|	65	-1	dot_product
0.1466 %	0.3067 %	0.490961 %	0.5757867 %	|	0.4545 %	0.7514 %	0.698 %	0.8725 %	0.86075 %	0.827936 %	222.1083641052246
800	0.2	25	|	75	-1	dot_product
0.1468 %	0.30713 %	0.491592 %	0.5761029 %	|	0.4555 %	0.7543 %	0.69986 %	0.8772 %	0.86444 %	0.830208 %	235.29314994812012
800	0.2	25	|	90	-1	dot_product
0.1468 %	0.30763 %	0.492372 %	0.5764959 %	|	0.4563 %	0.757 %	0.7021 %	0.8819 %	0.86905 %	0.833068 %	248.04139137268066
800	0.2	25	|	110	-1	dot_product
0.1468 %	0.30816 %	0.493248 %	0.5769247 %	|	0.4579 %	0.7603 %	0.70442 %	0.888 %	0.87409 %	0.836304 %	269.9754238128662
800	0.2	25	|	130	-1	dot_product
0.1471 %	0.30861 %	0.493943 %	0.5773144 %	|	0.459 %	0.7634 %	0.7068 %	0.8935 %	0.87895 %	0.839255 %	292.73533821105957
800	0.2	25	|	150	-1	dot_product
0.1472 %	0.30895 %	0.49461 %	0.577661 %	|	0.4597 %	0.765 %	0.70863 %	0.8961 %	0.88266 %	0.841818 %	318.2828426361084
800	0.2	25	|	170	-1	dot_product
0.1474 %	0.30942 %	0.49524 %	0.5779779 %	|	0.4613 %	0.7679 %	0.71054 %	0.9011 %	0.88645 %	0.844325 %	336.32421493530273
800	0.2	25	|	200	-1	dot_product
0.1473 %	0.30997 %	0.496077 %	0.5784196 %	|	0.4624 %	0.7702 %	0.7126 %	0.9052 %	0.89083 %	0.847799 %	370.0084686279297
800	0.2	25	|	220	-1	dot_product
0.1473 %	0.31012 %	0.496609 %	0.5787088 %	|	0.4627 %	0.772 %	0.71399 %	0.9079 %	0.89373 %	0.849981 %	392.7621841430664
800	0.2	25	|	250	-1	dot_product
0.1474 %	0.31041 %	0.497306 %	0.5791249 %	|	0.4633 %	0.7747 %	0.71585 %	0.9128 %	0.89745 %	0.852958 %	430.4852485656738
800	0.2	25	|	310	-1	dot_product
0.1475 %	0.31097 %	0.498551 %	0.5798657 %	|	0.4646 %	0.7789 %	0.71939 %	0.9211 %	0.90464 %	0.858518 %	493.17193031311035
800	0.2	25	|	400	-1	dot_product
0.1475 %	0.31158 %	0.500241 %	0.5809203 %	|	0.4666 %	0.7846 %	0.7239 %	0.9309 %	0.91409 %	0.866094 %	591.172456741333
800	0.2	25	|	500	-1	dot_product
0.1478 %	0.3119 %	0.501556 %	0.5818904 %	|	0.4675 %	0.7893 %	0.72777 %	0.9394 %	0.92223 %	0.872916 %	701.8697261810303
800	0.2	25	|	800	-1	dot_product
0.1477 %	0.31253 %	0.504105 %	0.5842535 %	|	0.4689 %	0.7939 %	0.73364 %	0.9497 %	0.93553 %	0.887873 %	1028.2700061798096
800	0.2	20	|	1	-1	dot_product
0.0728 %	0.19068 %	0.32803 %	0.2890757 %	|	0.2671 %	0.4266 %	0.4123 %	0.4484 %	0.44893 %	0.435623 %	75.49214363098145
800	0.2	20	|	2	-1	dot_product
0.0839 %	0.2196 %	0.382427 %	0.415407 %	|	0.3174 %	0.5349 %	0.50742 %	0.5809 %	0.58202 %	0.575742 %	88.11259269714355
800	0.2	20	|	4	-1	dot_product
0.0915 %	0.2373 %	0.41234 %	0.4879022 %	|	0.348 %	0.611 %	0.572 %	0.6849 %	0.69199 %	0.68242 %	100.85320472717285
800	0.2	20	|	8	-1	dot_product
0.097 %	0.24752 %	0.426532 %	0.5174839 %	|	0.3653 %	0.656 %	0.60712 %	0.7602 %	0.76411 %	0.745948 %	115.99469184875488
800	0.2	20	|	16	-1	dot_product
0.0991 %	0.25114 %	0.431828 %	0.5271261 %	|	0.3736 %	0.6785 %	0.62195 %	0.8053 %	0.80339 %	0.775097 %	140.3207778930664
800	0.2	20	|	25	-1	dot_product
