Program: faissGPU Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.4058 %	0.47174 %	0.532724 %	0.5980783 %	|	0.8035 %	0.9706 %	0.8904 %	0.9966 %	0.98885 %	0.94066 %	3644.8001861572266
1000	20	256	|	448	-1	dot_product
0.4058 %	0.47186 %	0.532935 %	0.598549 %	|	0.8039 %	0.9711 %	0.89118 %	0.9972 %	0.99018 %	0.941956 %	3919.603109359741
1000	20	256	|	512	-1	dot_product
0.4058 %	0.47197 %	0.533051 %	0.5988637 %	|	0.8041 %	0.9715 %	0.89162 %	0.9979 %	0.9911 %	0.94278 %	6162.930011749268
1000	20	256	|	576	-1	dot_product
0.406 %	0.47205 %	0.53313 %	0.5990639 %	|	0.8044 %	0.9722 %	0.8919 %	0.9988 %	0.99176 %	0.943379 %	7695.930004119873
1000	20	256	|	640	-1	dot_product
0.406 %	0.4721 %	0.533169 %	0.5991933 %	|	0.8044 %	0.9722 %	0.89206 %	0.9989 %	0.99211 %	0.943765 %	8606.026411056519
1000	20	256	|	704	-1	dot_product
0.406 %	0.47211 %	0.533209 %	0.5992785 %	|	0.8044 %	0.9722 %	0.89218 %	0.9991 %	0.99238 %	0.944058 %	9538.381814956665
1000	20	256	|	768	-1	dot_product
0.4059 %	0.4721 %	0.533235 %	0.5993353 %	|	0.8043 %	0.9722 %	0.89223 %	0.9991 %	0.99257 %	0.944221 %	10201.512575149536
1000	25	256	|	1	-1	dot_product
0.2884 %	0.33051 %	0.327785 %	0.2669698 %	|	0.4555 %	0.4772 %	0.44472 %	0.4779 %	0.44907 %	0.388845 %	801.7585277557373
1000	25	256	|	16	-1	dot_product
0.4712 %	0.53194 %	0.574543 %	0.5859303 %	|	0.8086 %	0.8778 %	0.84326 %	0.8804 %	0.86311 %	0.81753 %	915.9989356994629
1000	25	256	|	32	-1	dot_product
0.4861 %	0.54736 %	0.595671 %	0.6236908 %	|	0.845 %	0.9232 %	0.8871 %	0.9266 %	0.91204 %	0.875671 %	1052.3412227630615
1000	25	256	|	64	-1	dot_product
0.4959 %	0.55684 %	0.609202 %	0.6494018 %	|	0.87 %	0.9561 %	0.91754 %	0.9606 %	0.94805 %	0.920116 %	1286.6828441619873
1000	25	256	|	128	-1	dot_product
0.5002 %	0.56265 %	0.617183 %	0.6656392 %	|	0.8811 %	0.9745 %	0.93828 %	0.9799 %	0.97334 %	0.950864 %	1809.950351715088
1000	25	256	|	256	-1	dot_product
0.5042 %	0.5658 %	0.621759 %	0.6747729 %	|	0.8897 %	0.9867 %	0.95046 %	0.9927 %	0.98888 %	0.970607 %	3260.9200477600098
1000	25	256	|	320	-1	dot_product
0.5049 %	0.56642 %	0.622617 %	0.6765552 %	|	0.8915 %	0.9893 %	0.95276 %	0.9955 %	0.9921 %	0.974623 %	3578.6666870117188
1000	25	256	|	384	-1	dot_product
0.5053 %	0.56699 %	0.623154 %	0.6776773 %	|	0.8926 %	0.9906 %	0.95463 %	0.997 %	0.99466 %	0.977342 %	3881.152868270874
1000	25	256	|	448	-1	dot_product
0.5054 %	0.56719 %	0.623516 %	0.6784186 %	|	0.893 %	0.9911 %	0.95561 %	0.9976 %	0.99604 %	0.97906 %	4178.991317749023
1000	25	256	|	512	-1	dot_product
0.5054 %	0.56736 %	0.623722 %	0.6789024 %	|	0.8934 %	0.9918 %	0.95626 %	0.9983 %	0.99704 %	0.980214 %	6177.739858627319
1000	25	256	|	576	-1	dot_product
0.5058 %	0.56747 %	0.623896 %	0.6792239 %	|	0.894 %	0.9926 %	0.95677 %	0.9992 %	0.99777 %	0.981054 %	7735.502481460571
1000	25	256	|	640	-1	dot_product
0.5057 %	0.5675 %	0.624001 %	0.6794331 %	|	0.8941 %	0.9927 %	0.95712 %	0.9993 %	0.99822 %	0.981633 %	8545.027494430542
1000	25	256	|	704	-1	dot_product
0.5057 %	0.56751 %	0.624074 %	0.6795864 %	|	0.8943 %	0.9929 %	0.95734 %	0.9995 %	0.99852 %	0.982024 %	9447.527647018433
1000	25	256	|	768	-1	dot_product
0.5057 %	0.56753 %	0.624119 %	0.6796858 %	|	0.8943 %	0.9929 %	0.95746 %	0.9995 %	0.99872 %	0.982265 %	10264.475584030151
1000	50	256	|	1	-1	dot_product
0.4167 %	0.42519 %	0.380434 %	0.2846142 %	|	0.4777 %	0.4779 %	0.44907 %	0.4779 %	0.44907 %	0.389149 %	824.4807720184326
1000	50	256	|	16	-1	dot_product
0.7345 %	0.77069 %	0.767352 %	0.7089727 %	|	0.8797 %	0.8804 %	0.86319 %	0.8804 %	0.86319 %	0.821361 %	1001.6658306121826
1000	50	256	|	32	-1	dot_product
0.7684 %	0.80432 %	0.812678 %	0.7790699 %	|	0.9258 %	0.9266 %	0.91224 %	0.9266 %	0.91224 %	0.881662 %	1176.577091217041
1000	50	256	|	64	-1	dot_product
