Program: scann Topk: 1000 Num_split: 1 Batch: 128
L	Threashold	m	|	w	r	Metric
0.5105 %	0.60734 %	0.67858 %	0.7470481 %	|	0.9337 %	0.9992 %	0.98782 %	1.0 %	0.99999 %	0.998082 %	912.0583534240723
800	0.2	64	|	200	-1	squared_l2
0.5105 %	0.60733 %	0.678558 %	0.7470749 %	|	0.9337 %	0.9992 %	0.9878 %	1.0 %	0.99999 %	0.998147 %	1047.806978225708
800	0.2	64	|	220	-1	squared_l2
0.5105 %	0.60734 %	0.678557 %	0.7470782 %	|	0.9337 %	0.9992 %	0.98781 %	1.0 %	1.0 %	0.998164 %	1141.5958404541016
800	0.2	64	|	250	-1	squared_l2
0.5105 %	0.60734 %	0.678559 %	0.747077 %	|	0.9337 %	0.9992 %	0.98781 %	1.0 %	1.0 %	0.998174 %	1284.635305404663
800	0.2	64	|	310	-1	squared_l2
0.5105 %	0.60734 %	0.678557 %	0.7470723 %	|	0.9337 %	0.9992 %	0.98781 %	1.0 %	1.0 %	0.998179 %	1570.9617137908936
800	0.2	64	|	400	-1	squared_l2
0.5105 %	0.60734 %	0.678557 %	0.7470715 %	|	0.9337 %	0.9992 %	0.98781 %	1.0 %	1.0 %	0.998183 %	2037.447214126587
800	0.2	64	|	500	-1	squared_l2
0.5105 %	0.60734 %	0.678557 %	0.7470711 %	|	0.9337 %	0.9992 %	0.98781 %	1.0 %	1.0 %	0.998183 %	2402.8451442718506
800	0.2	64	|	800	-1	squared_l2
0.5105 %	0.60734 %	0.678557 %	0.7470711 %	|	0.9337 %	0.9992 %	0.98781 %	1.0 %	1.0 %	0.998183 %	3599.65443611145
800	0.2	32	|	1	-1	squared_l2
0.2136 %	0.26031 %	0.266268 %	0.2024971 %	|	0.4145 %	0.4686 %	0.39728 %	0.4715 %	0.40663 %	0.319825 %	98.57463836669922
800	0.2	32	|	2	-1	squared_l2
0.2588 %	0.32201 %	0.353127 %	0.3150712 %	|	0.541 %	0.6345 %	0.54908 %	0.6413 %	0.57191 %	0.472209 %	118.54100227355957
800	0.2	32	|	4	-1	squared_l2
0.2898 %	0.36539 %	0.419449 %	0.4257655 %	|	0.6399 %	0.7789 %	0.68404 %	0.7915 %	0.72783 %	0.630161 %	145.28441429138184
800	0.2	32	|	8	-1	squared_l2
0.3042 %	0.39127 %	0.462981 %	0.511483 %	|	0.6988 %	0.8791 %	0.78394 %	0.8976 %	0.85568 %	0.772401 %	167.59681701660156
800	0.2	32	|	16	-1	squared_l2
0.3099 %	0.40186 %	0.485178 %	0.5642992 %	|	0.7265 %	0.9377 %	0.84135 %	0.9631 %	0.93959 %	0.875135 %	205.71064949035645
800	0.2	32	|	25	-1	squared_l2
0.3114 %	0.4049 %	0.491529 %	0.5826384 %	|	0.7343 %	0.9553 %	0.85983 %	0.9839 %	0.97078 %	0.915157 %	234.7419261932373
800	0.2	32	|	30	-1	squared_l2
0.3114 %	0.40565 %	0.493066 %	0.5873253 %	|	0.7358 %	0.959 %	0.86414 %	0.9885 %	0.97877 %	0.926224 %	249.1447925567627
800	0.2	32	|	35	-1	squared_l2
0.3114 %	0.40551 %	0.493641 %	0.5902715 %	|	0.7364 %	0.9611 %	0.86607 %	0.9911 %	0.98321 %	0.933075 %	264.97364044189453
800	0.2	32	|	40	-1	squared_l2
0.3117 %	0.40541 %	0.493973 %	0.5922009 %	|	0.7372 %	0.9631 %	0.86762 %	0.9935 %	0.98658 %	0.937986 %	273.18882942199707
800	0.2	32	|	45	-1	squared_l2
0.3116 %	0.40535 %	0.494193 %	0.5935103 %	|	0.7371 %	0.9641 %	0.86871 %	0.9946 %	0.98894 %	0.94141 %	286.8378162384033
800	0.2	32	|	50	-1	squared_l2
0.3114 %	0.40527 %	0.494334 %	0.5944163 %	|	0.7374 %	0.9651 %	0.86945 %	0.996 %	0.99081 %	0.943868 %	300.52661895751953
800	0.2	32	|	55	-1	squared_l2
0.3115 %	0.40526 %	0.494352 %	0.5950074 %	|	0.7375 %	0.9654 %	0.86959 %	0.9964 %	0.99184 %	0.945543 %	314.711332321167
800	0.2	32	|	60	-1	squared_l2
0.3117 %	0.4052 %	0.494361 %	0.5953875 %	|	0.7379 %	0.966 %	0.86999 %	0.9971 %	0.99285 %	0.946782 %	319.49400901794434
800	0.2	32	|	65	-1	squared_l2
