Program: faiss Topk: 1000 Num_split: 20 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.5019 %	0.56922 %	0.61574 %	0.667098 %	|	0.9003 %	0.9934 %	0.96747 %	0.9993 %	0.99876 %	0.987883 %	1350863.7619018555
7000	24	256	|	640	-1	squared_l2
0.5019 %	0.56922 %	0.615742 %	0.6671054 %	|	0.9003 %	0.9934 %	0.96749 %	0.9993 %	0.99878 %	0.987895 %	1495566.577911377
7000	24	256	|	704	-1	squared_l2
0.5019 %	0.56922 %	0.615742 %	0.667112 %	|	0.9003 %	0.9934 %	0.96749 %	0.9993 %	0.99879 %	0.987904 %	1623305.6449890137
7000	24	256	|	768	-1	squared_l2
0.5019 %	0.56922 %	0.615744 %	0.6671149 %	|	0.9003 %	0.9934 %	0.96749 %	0.9993 %	0.99879 %	0.987913 %	1759019.4034576416
7000	24	256	|	1024	-1	squared_l2
0.5019 %	0.56922 %	0.615745 %	0.667123 %	|	0.9003 %	0.9934 %	0.96752 %	0.9993 %	0.99883 %	0.987937 %	2309361.0191345215
7000	24	256	|	1280	-1	squared_l2
0.5019 %	0.56922 %	0.615748 %	0.6671254 %	|	0.9003 %	0.9934 %	0.96752 %	0.9993 %	0.99883 %	0.987948 %	-1
7000	24	256	|	1536	-1	squared_l2
0.5019 %	0.56922 %	0.615748 %	0.667127 %	|	0.9003 %	0.9934 %	0.96752 %	0.9993 %	0.99883 %	0.987949 %	-1
7000	24	256	|	2048	-1	squared_l2
0.5019 %	0.56922 %	0.615748 %	0.6671278 %	|	0.9003 %	0.9934 %	0.96752 %	0.9993 %	0.99883 %	0.98795 %	-1
7000	12	256	|	1	-1	squared_l2
0.1911 %	0.20786 %	0.223531 %	0.2414758 %	|	0.3802 %	0.4952 %	0.39581 %	0.5267 %	0.46772 %	0.391464 %	13738.4033203125
7000	12	256	|	16	-1	squared_l2
0.2632 %	0.29084 %	0.329718 %	0.3906421 %	|	0.5694 %	0.8358 %	0.66456 %	0.9446 %	0.90146 %	0.748497 %	38230.791091918945
7000	12	256	|	32	-1	squared_l2
0.2645 %	0.29339 %	0.332913 %	0.3965054 %	|	0.5753 %	0.8501 %	0.67484 %	0.9657 %	0.92627 %	0.766878 %	61534.81960296631
7000	12	256	|	64	-1	squared_l2
0.2649 %	0.29388 %	0.333961 %	0.3985522 %	|	0.5769 %	0.8553 %	0.67847 %	0.9754 %	0.93557 %	0.773893 %	106302.73342132568
7000	12	256	|	128	-1	squared_l2
0.2652 %	0.29405 %	0.334263 %	0.3991033 %	|	0.5777 %	0.8572 %	0.67926 %	0.9786 %	0.93811 %	0.775925 %	191322.65090942383
7000	12	256	|	256	-1	squared_l2
0.2652 %	0.29406 %	0.334328 %	0.399222 %	|	0.5778 %	0.8577 %	0.67953 %	0.9792 %	0.93885 %	0.776406 %	353994.7557449341
7000	12	256	|	320	-1	squared_l2
0.2652 %	0.29406 %	0.334328 %	0.399231 %	|	0.5778 %	0.8577 %	0.67953 %	0.9792 %	0.93889 %	0.776435 %	433022.97592163086
7000	12	256	|	384	-1	squared_l2
0.2652 %	0.29407 %	0.334329 %	0.3992355 %	|	0.5778 %	0.8577 %	0.67955 %	0.9793 %	0.93894 %	0.77645 %	511242.8140640259
7000	12	256	|	448	-1	squared_l2
0.2652 %	0.29407 %	0.334329 %	0.3992375 %	|	0.5778 %	0.8577 %	0.67955 %	0.9793 %	0.93896 %	0.776457 %	588183.4840774536
7000	12	256	|	512	-1	squared_l2
0.2652 %	0.29408 %	0.33433 %	0.3992383 %	|	0.5778 %	0.8578 %	0.67957 %	0.9794 %	0.93898 %	0.776464 %	665283.5512161255
7000	12	256	|	576	-1	squared_l2
0.2652 %	0.29408 %	0.33433 %	0.399239 %	|	0.5778 %	0.8578 %	0.67957 %	0.9794 %	0.93898 %	0.776465 %	747677.9127120972
7000	12	256	|	640	-1	squared_l2
0.2652 %	0.29408 %	0.33433 %	0.3992393 %	|	0.5778 %	0.8578 %	0.67957 %	0.9794 %	0.93898 %	0.776466 %	828789.6299362183
7000	12	256	|	704	-1	squared_l2
0.2652 %	0.29408 %	0.334331 %	0.3992398 %	|	0.5778 %	0.8578 %	0.67958 %	0.9794 %	0.93899 %	0.776468 %	893371.0289001465
7000	12	256	|	768	-1	squared_l2
0.2652 %	0.29408 %	0.334331 %	0.39924 %	|	0.5778 %	0.8578 %	0.67958 %	0.9794 %	0.93899 %	0.77647 %	969236.3691329956
7000	12	256	|	1024	-1	squared_l2
0.2652 %	0.29407 %	0.334331 %	0.3992402 %	|	0.5778 %	0.8578 %	0.67958 %	0.9794 %	0.93899 %	0.776471 %	1269182.7201843262
7000	12	256	|	1280	-1	squared_l2
0.2652 %	0.29407 %	0.334331 %	0.3992402 %	|	0.5778 %	0.8578 %	0.67958 %	0.9794 %	0.93899 %	0.776471 %	-1
7000	12	256	|	1536	-1	squared_l2
0.2652 %	0.29407 %	0.334331 %	0.3992403 %	|	0.5778 %	0.8578 %	0.67958 %	0.9794 %	0.93899 %	0.776471 %	-1
7000	12	256	|	2048	-1	squared_l2
0.2652 %	0.29407 %	0.334331 %	0.3992403 %	|	0.5778 %	0.8578 %	0.67958 %	0.9794 %	0.93899 %	0.776471 %	-1
8000	48	256	|	1	-1	squared_l2
0.4545 %	0.44445 %	0.40484 %	0.3520521 %	|	0.5187 %	0.5194 %	0.46855 %	0.5199 %	0.46912 %	0.41557 %	19078.60279083252
8000	48	256	|	16	-1	squared_l2
