Program: faissGPU Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.4698 %	0.56407 %	0.636375 %	0.7062122 %	|	0.9071 %	0.9971 %	0.97546 %	0.9983 %	0.99608 %	0.98593 %	877.3725032806396
1000	16	256	|	128	-1	squared_l2
0.47 %	0.56439 %	0.637384 %	0.7107235 %	|	0.9079 %	0.9986 %	0.97806 %	0.9998 %	0.99973 %	0.994524 %	944.0450668334961
1000	16	256	|	256	-1	squared_l2
0.47 %	0.56437 %	0.637469 %	0.7111918 %	|	0.908 %	0.9988 %	0.97823 %	1.0 %	1.0 %	0.995464 %	1115.696668624878
1000	16	256	|	320	-1	squared_l2
0.47 %	0.56437 %	0.637471 %	0.7111999 %	|	0.908 %	0.9988 %	0.97823 %	1.0 %	1.0 %	0.995478 %	1235.8019351959229
1000	16	256	|	384	-1	squared_l2
0.47 %	0.56437 %	0.637471 %	0.7112002 %	|	0.908 %	0.9988 %	0.97823 %	1.0 %	1.0 %	0.99548 %	1352.7348041534424
1000	16	256	|	448	-1	squared_l2
0.47 %	0.56437 %	0.637471 %	0.7112009 %	|	0.908 %	0.9988 %	0.97823 %	1.0 %	1.0 %	0.995481 %	1487.1094226837158
1000	16	256	|	512	-1	squared_l2
0.47 %	0.56437 %	0.637471 %	0.7112002 %	|	0.908 %	0.9988 %	0.97823 %	1.0 %	1.0 %	0.99548 %	1551.086187362671
1000	16	256	|	576	-1	squared_l2
0.47 %	0.56437 %	0.637472 %	0.7112006 %	|	0.908 %	0.9988 %	0.97823 %	1.0 %	1.0 %	0.99548 %	1612.9519939422607
1000	16	256	|	640	-1	squared_l2
0.47 %	0.56437 %	0.637472 %	0.7112007 %	|	0.908 %	0.9988 %	0.97823 %	1.0 %	1.0 %	0.99548 %	1666.2352085113525
1000	16	256	|	704	-1	squared_l2
0.47 %	0.56437 %	0.637472 %	0.7112005 %	|	0.908 %	0.9988 %	0.97823 %	1.0 %	1.0 %	0.995481 %	1765.2027606964111
1000	16	256	|	768	-1	squared_l2
0.47 %	0.56437 %	0.637472 %	0.7112003 %	|	0.908 %	0.9988 %	0.97823 %	1.0 %	1.0 %	0.99548 %	2028.9506912231445
1000	32	256	|	1	-1	squared_l2
0.3703 %	0.37153 %	0.307253 %	0.1960765 %	|	0.4738 %	0.4742 %	0.40386 %	0.4742 %	0.40386 %	0.313886 %	705.3534984588623
1000	32	256	|	16	-1	squared_l2
0.6345 %	0.7049 %	0.736143 %	0.7167277 %	|	0.9508 %	0.9586 %	0.93121 %	0.9586 %	0.93134 %	0.880428 %	786.1943244934082
1000	32	256	|	32	-1	squared_l2
0.6451 %	0.72074 %	0.767046 %	0.7873515 %	|	0.9796 %	0.9898 %	0.9781 %	0.9898 %	0.97834 %	0.955169 %	831.7255973815918
1000	32	256	|	64	-1	squared_l2
0.648 %	0.72551 %	0.777874 %	0.8175523 %	|	0.9868 %	0.9983 %	0.99574 %	0.9983 %	0.99608 %	0.989181 %	930.7940006256104
1000	32	256	|	128	-1	squared_l2
0.6488 %	0.72636 %	0.780261 %	0.8260908 %	|	0.9882 %	0.9998 %	0.99933 %	0.9998 %	0.99973 %	0.998737 %	1029.2208194732666
1000	32	256	|	256	-1	squared_l2
0.649 %	0.72643 %	0.780495 %	0.827191 %	|	0.9884 %	1.0 %	0.99959 %	1.0 %	1.0 %	0.999945 %	1319.8699951171875
1000	32	256	|	320	-1	squared_l2
0.649 %	0.72644 %	0.780499 %	0.8272155 %	|	0.9884 %	1.0 %	0.99959 %	1.0 %	1.0 %	0.99997 %	1520.2910900115967
1000	32	256	|	384	-1	squared_l2
0.6489 %	0.72643 %	0.7805 %	0.8272205 %	|	0.9884 %	1.0 %	0.99959 %	1.0 %	1.0 %	0.999978 %	1601.5362739562988
1000	32	256	|	448	-1	squared_l2
0.6489 %	0.72643 %	0.7805 %	0.827221 %	|	0.9884 %	1.0 %	0.99959 %	1.0 %	1.0 %	0.999979 %	1737.1737957000732
1000	32	256	|	512	-1	squared_l2
0.6489 %	0.72644 %	0.7805 %	0.8272213 %	|	0.9884 %	1.0 %	0.99959 %	1.0 %	1.0 %	0.99998 %	1940.7386779785156
1000	32	256	|	576	-1	squared_l2
0.6489 %	0.72643 %	0.7805 %	0.8272213 %	|	0.9884 %	1.0 %	0.99959 %	1.0 %	1.0 %	0.99998 %	2120.9306716918945
1000	32	256	|	640	-1	squared_l2
0.6489 %	0.72644 %	0.7805 %	0.8272213 %	|	0.9884 %	1.0 %	0.99959 %	1.0 %	1.0 %	0.99998 %	2245.07999420166
1000	32	256	|	704	-1	squared_l2
0.6489 %	0.72644 %	0.7805 %	0.8272213 %	|	0.9884 %	1.0 %	0.99959 %	1.0 %	1.0 %	0.99998 %	2348.2909202575684
1000	32	256	|	768	-1	squared_l2
0.6489 %	0.72644 %	0.7805 %	0.8272212 %	|	0.9884 %	1.0 %	0.99959 %	1.0 %	1.0 %	0.99998 %	2786.726474761963
1000	64	256	|	1	-1	squared_l2
0.4296 %	0.39493 %	0.312675 %	0.1963013 %	|	0.4742 %	0.4742 %	0.40386 %	0.4742 %	0.40386 %	0.313886 %	718.8284397125244
1000	64	256	|	16	-1	squared_l2
0.8098 %	0.83768 %	0.834755 %	0.7611995 %	|	0.9584 %	0.9586 %	0.93134 %	0.9586 %	0.93134 %	0.880428 %	792.3352718353271
1000	64	256	|	32	-1	squared_l2
0.8309 %	0.86514 %	0.883798 %	0.8635676 %	|	0.9895 %	0.9898 %	0.97834 %	0.9898 %	0.97834 %	0.955172 %	874.3712902069092
1000	64	256	|	64	-1	squared_l2
0.8361 %	0.87399 %	0.901605 %	0.9115349 %	|	0.9979 %	0.9983 %	0.99608 %	0.9983 %	0.99608 %	0.989191 %	979.7794818878174
1000	64	256	|	128	-1	squared_l2
0.8367 %	0.87563 %	0.905767 %	0.9253316 %	|	0.9994 %	0.9998 %	0.99973 %	0.9998 %	0.99973 %	0.998753 %	1205.6856155395508
1000	64	256	|	256	-1	squared_l2
0.8371 %	0.87574 %	0.906251 %	0.9272985 %	|	0.9996 %	1.0 %	1.0 %	1.0 %	1.0 %	0.999964 %	1672.4576950073242
1000	64	256	|	320	-1	squared_l2
0.8371 %	0.87574 %	0.906261 %	0.9273498 %	|	0.9996 %	1.0 %	1.0 %	1.0 %	1.0 %	0.999989 %	1905.2746295928955
1000	64	256	|	384	-1	squared_l2
0.837 %	0.87574 %	0.906263 %	0.9273614 %	|	0.9996 %	1.0 %	1.0 %	1.0 %	1.0 %	0.999998 %	2102.245330810547
1000	64	256	|	448	-1	squared_l2
0.837 %	0.87574 %	0.906263 %	0.9273634 %	|	0.9996 %	1.0 %	1.0 %	1.0 %	1.0 %	0.999999 %	2299.727201461792
1000	64	256	|	512	-1	squared_l2
0.837 %	0.87575 %	0.906262 %	0.927364 %	|	0.9996 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	2666.7768955230713
1000	64	256	|	576	-1	squared_l2
0.837 %	0.87575 %	0.906263 %	0.9273643 %	|	0.9996 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	2962.5930786132812
1000	64	256	|	640	-1	squared_l2
0.837 %	0.87575 %	0.906263 %	0.9273642 %	|	0.9996 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	3387.721061706543
1000	64	256	|	704	-1	squared_l2
0.837 %	0.87575 %	0.906263 %	0.9273643 %	|	0.9996 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	3560.929775238037
