Program: faiss Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.8333 %	0.87872 %	0.910388 %	0.9268798 %	|	0.9993 %	0.9996 %	0.99926 %	0.9996 %	0.99926 %	0.997728 %	95566.72716140747
4000	96	16	|	512	-1	squared_l2
0.8334 %	0.87882 %	0.910627 %	0.9277637 %	|	0.9995 %	0.9998 %	0.9995 %	0.9998 %	0.9995 %	0.998396 %	106906.85033798218
4000	96	16	|	576	-1	squared_l2
0.8335 %	0.87892 %	0.910799 %	0.9283715 %	|	0.9996 %	0.9999 %	0.99975 %	0.9999 %	0.99975 %	0.99883 %	119424.80111122131
4000	96	16	|	640	-1	squared_l2
0.8335 %	0.87893 %	0.910889 %	0.9287946 %	|	0.9996 %	0.9999 %	0.99983 %	0.9999 %	0.99983 %	0.999107 %	133365.83304405212
4000	96	16	|	704	-1	squared_l2
0.8335 %	0.87897 %	0.910961 %	0.9291059 %	|	0.9997 %	1.0 %	0.9999 %	1.0 %	0.9999 %	0.999288 %	148079.9241065979
4000	96	16	|	768	-1	squared_l2
0.8335 %	0.87899 %	0.911011 %	0.9293484 %	|	0.9997 %	1.0 %	0.99992 %	1.0 %	0.99992 %	0.999431 %	157274.1949558258
4000	96	16	|	1024	-1	squared_l2
0.8335 %	0.87899 %	0.911115 %	0.9298592 %	|	0.9997 %	1.0 %	0.99999 %	1.0 %	0.99999 %	0.999759 %	205110.98051071167
4000	12	64	|	1	-1	squared_l2
0.1502 %	0.20881 %	0.209783 %	0.1216346 %	|	0.3263 %	0.3758 %	0.32186 %	0.3798 %	0.32859 %	0.241471 %	512.4425888061523
4000	12	64	|	16	-1	squared_l2
0.2236 %	0.33931 %	0.424066 %	0.4825579 %	|	0.6253 %	0.8774 %	0.76794 %	0.9038 %	0.86539 %	0.779825 %	1485.1980209350586
4000	12	64	|	32	-1	squared_l2
