Program: faissGPU Topk: 1000 Num_split: 20 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.7502 %	0.8176 %	0.852981 %	0.8767259 %	|	0.999 %	1.0 %	0.99995 %	1.0 %	0.99997 %	0.999944 %	13232.459783554077
6000	64	256	|	576	-1	squared_l2
0.7502 %	0.81761 %	0.852985 %	0.8767449 %	|	0.999 %	1.0 %	0.99996 %	1.0 %	0.99998 %	0.999963 %	14527.986526489258
6000	64	256	|	640	-1	squared_l2
0.7502 %	0.81761 %	0.852992 %	0.8767559 %	|	0.999 %	1.0 %	0.99997 %	1.0 %	0.99999 %	0.999981 %	15615.149021148682
6000	64	256	|	704	-1	squared_l2
0.7502 %	0.81761 %	0.852995 %	0.8767642 %	|	0.999 %	1.0 %	0.99997 %	1.0 %	0.99999 %	0.999987 %	16731.09006881714
6000	64	256	|	768	-1	squared_l2
0.7502 %	0.81762 %	0.852996 %	0.8767701 %	|	0.999 %	1.0 %	0.99998 %	1.0 %	1.0 %	0.999988 %	17807.97052383423
6000	64	256	|	1024	-1	squared_l2
0.7502 %	0.81762 %	0.852999 %	0.8767779 %	|	0.999 %	1.0 %	0.99998 %	1.0 %	1.0 %	0.999998 %	22855.863332748413
6000	64	256	|	1280	-1	squared_l2
0.7502 %	0.81762 %	0.853 %	0.8767797 %	|	0.999 %	1.0 %	0.99998 %	1.0 %	1.0 %	1.0 %	27454.15759086609
6000	64	256	|	1536	-1	squared_l2
0.7502 %	0.81762 %	0.853 %	0.87678 %	|	0.999 %	1.0 %	0.99998 %	1.0 %	1.0 %	1.0 %	31817.42215156555
6000	64	256	|	2048	-1	squared_l2
0.7502 %	0.81762 %	0.853 %	0.8767805 %	|	0.999 %	1.0 %	0.99998 %	1.0 %	1.0 %	1.0 %	40624.802350997925
6000	32	256	|	1	-1	squared_l2
0.3062 %	0.35631 %	0.347422 %	0.3129501 %	|	0.4727 %	0.4786 %	0.4366 %	0.4786 %	0.43712 %	0.388748 %	3359.1368198394775
6000	32	256	|	16	-1	squared_l2
0.4955 %	0.60882 %	0.656809 %	0.6852099 %	|	0.9192 %	0.9566 %	0.93286 %	0.9566 %	0.93804 %	0.91038 %	3669.51847076416
6000	32	256	|	32	-1	squared_l2
