Program: scann Topk: 1000 Num_split: 1 Batch: 128
L	Threashold	m	|	w	r	Metric
0.2673 %	0.32432 %	0.379287 %	0.4496518 %	|	0.6199 %	0.8691 %	0.72148 %	0.9626 %	0.93174 %	0.812333 %	419.6813106536865
800	0.2	25	|	200	-1	dot_product
0.2675 %	0.32451 %	0.379499 %	0.4501931 %	|	0.6206 %	0.8712 %	0.72245 %	0.9672 %	0.93555 %	0.814276 %	465.84248542785645
800	0.2	25	|	220	-1	dot_product
0.2675 %	0.32456 %	0.379568 %	0.4504529 %	|	0.621 %	0.8724 %	0.72285 %	0.9698 %	0.93704 %	0.81514 %	483.4780693054199
800	0.2	25	|	250	-1	dot_product
0.2676 %	0.32465 %	0.379672 %	0.4507273 %	|	0.6213 %	0.8729 %	0.72333 %	0.9726 %	0.93898 %	0.816112 %	519.7587013244629
800	0.2	25	|	310	-1	dot_product
0.2676 %	0.32472 %	0.379758 %	0.4510326 %	|	0.6215 %	0.8741 %	0.72384 %	0.976 %	0.94141 %	0.817342 %	590.5065536499023
800	0.2	25	|	400	-1	dot_product
0.2677 %	0.32475 %	0.379803 %	0.4512099 %	|	0.6216 %	0.8748 %	0.72413 %	0.9776 %	0.94275 %	0.818031 %	694.6518421173096
800	0.2	25	|	500	-1	dot_product
0.2678 %	0.32476 %	0.379818 %	0.4512686 %	|	0.6217 %	0.875 %	0.72424 %	0.9787 %	0.94343 %	0.818283 %	800.0807762145996
800	0.2	25	|	800	-1	dot_product
0.2678 %	0.32476 %	0.379821 %	0.4512829 %	|	0.6217 %	0.875 %	0.72424 %	0.9789 %	0.94355 %	0.818342 %	1110.262393951416
800	0.2	20	|	1	-1	dot_product
0.1195 %	0.15778 %	0.197719 %	0.196217 %	|	0.2606 %	0.3432 %	0.31293 %	0.3543 %	0.34814 %	0.308501 %	97.93496131896973
800	0.2	20	|	2	-1	dot_product
0.1521 %	0.19585 %	0.243631 %	0.2648991 %	|	0.3425 %	0.4671 %	0.41378 %	0.4905 %	0.48126 %	0.428742 %	111.39893531799316
800	0.2	20	|	4	-1	dot_product
0.1743 %	0.21873 %	0.273305 %	0.3149969 %	|	0.3994 %	0.5641 %	0.48678 %	0.6085 %	0.59752 %	0.531187 %	135.47492027282715
800	0.2	20	|	8	-1	dot_product
0.1872 %	0.23298 %	0.29119 %	0.3486516 %	|	0.4416 %	0.6408 %	0.53891 %	0.708 %	0.69601 %	0.610418 %	148.58102798461914
800	0.2	20	|	16	-1	dot_product
0.1928 %	0.24058 %	0.300975 %	0.3693158 %	|	0.4645 %	0.6948 %	0.57059 %	0.7931 %	0.7708 %	0.664365 %	172.29247093200684
800	0.2	20	|	25	-1	dot_product
0.1954 %	0.24368 %	0.304564 %	0.3777318 %	|	0.4752 %	0.7195 %	0.58337 %	0.8356 %	0.80685 %	0.687871 %	196.98810577392578
800	0.2	20	|	30	-1	dot_product
0.1962 %	0.24437 %	0.305642 %	0.3803051 %	|	0.4773 %	0.7274 %	0.5873 %	0.8497 %	0.81875 %	0.695333 %	204.0877342224121
800	0.2	20	|	35	-1	dot_product
0.1977 %	0.24496 %	0.306395 %	0.3821978 %	|	0.4803 %	0.7337 %	0.59036 %	0.8603 %	0.82773 %	0.700783 %	216.95351600646973
800	0.2	20	|	40	-1	dot_product
0.1985 %	0.24549 %	0.306986 %	0.3836569 %	|	0.4826 %	0.7394 %	0.59264 %	0.8705 %	0.83504 %	0.705139 %	223.8900661468506
800	0.2	20	|	45	-1	dot_product
0.1988 %	0.24588 %	0.307434 %	0.384779 %	|	0.484 %	0.7438 %	0.59424 %	0.8789 %	0.84113 %	0.708493 %	235.69846153259277
800	0.2	20	|	50	-1	dot_product
0.199 %	0.24616 %	0.307763 %	0.3856718 %	|	0.4851 %	0.7467 %	0.59542 %	0.8851 %	0.84602 %	0.711159 %	236.9832992553711
800	0.2	20	|	55	-1	dot_product
0.1991 %	0.24631 %	0.308064 %	0.3864509 %	|	0.4858 %	0.7491 %	0.59658 %	0.8904 %	0.85014 %	0.713483 %	247.65992164611816
