Program: faissGPU Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.7136 %	0.79394 %	0.843194 %	0.8771187 %	|	0.9968 %	0.9998 %	0.99949 %	0.9998 %	0.9995 %	0.998396 %	3402.353286743164
4000	32	256	|	576	-1	squared_l2
0.7137 %	0.79401 %	0.84331 %	0.8776035 %	|	0.9969 %	0.9999 %	0.99973 %	0.9999 %	0.99975 %	0.99883 %	3496.0780143737793
4000	32	256	|	640	-1	squared_l2
0.7137 %	0.79403 %	0.84338 %	0.8779514 %	|	0.9969 %	0.9999 %	0.99981 %	0.9999 %	0.99983 %	0.999107 %	3360.5189323425293
4000	32	256	|	704	-1	squared_l2
0.7137 %	0.79404 %	0.843429 %	0.8782028 %	|	0.997 %	1.0 %	0.99988 %	1.0 %	0.9999 %	0.999288 %	3783.1482887268066
4000	32	256	|	768	-1	squared_l2
0.7137 %	0.79403 %	0.843458 %	0.8783898 %	|	0.997 %	1.0 %	0.9999 %	1.0 %	0.99992 %	0.999431 %	3734.952449798584
4000	32	256	|	1024	-1	squared_l2
0.7137 %	0.79406 %	0.843548 %	0.8788105 %	|	0.997 %	1.0 %	0.99997 %	1.0 %	0.99999 %	0.999759 %	4674.8833656311035
4000	32	256	|	1280	-1	squared_l2
0.7137 %	0.79407 %	0.843572 %	0.8789733 %	|	0.997 %	1.0 %	0.99998 %	1.0 %	1.0 %	0.999897 %	5081.729173660278
4000	32	256	|	1536	-1	squared_l2
0.7137 %	0.79407 %	0.84358 %	0.8790504 %	|	0.997 %	1.0 %	0.99998 %	1.0 %	1.0 %	0.999955 %	6198.68540763855
4000	32	256	|	2048	-1	squared_l2
0.7137 %	0.79407 %	0.843584 %	0.8791074 %	|	0.997 %	1.0 %	0.99998 %	1.0 %	1.0 %	0.99999 %	8417.946100234985
4000	48	256	|	1	-1	squared_l2
0.3553 %	0.3247 %	0.241164 %	0.1216466 %	|	0.3797 %	0.3798 %	0.32859 %	0.3798 %	0.32859 %	0.241471 %	2347.1293449401855
4000	48	256	|	16	-1	squared_l2
0.7988 %	0.81082 %	0.769694 %	0.6252721 %	|	0.9037 %	0.9038 %	0.86572 %	0.9038 %	0.86572 %	0.788378 %	2518.657445907593
4000	48	256	|	32	-1	squared_l2
0.8355 %	0.85966 %	0.850326 %	0.7566828 %	|	0.955 %	0.955 %	0.93265 %	0.955 %	0.93265 %	0.883154 %	2557.8157901763916
4000	48	256	|	64	-1	squared_l2
0.8554 %	0.88425 %	0.895358 %	0.8513274 %	|	0.9839 %	0.9839 %	0.97086 %	0.9839 %	0.97086 %	0.943707 %	2627.457618713379
4000	48	256	|	128	-1	squared_l2
0.8633 %	0.89446 %	0.916378 %	0.9067581 %	|	0.9955 %	0.9955 %	0.98997 %	0.9955 %	0.98997 %	0.977148 %	2759.982109069824
4000	48	256	|	256	-1	squared_l2
0.8654 %	0.89796 %	0.92445 %	0.9323571 %	|	0.9988 %	0.9988 %	0.99723 %	0.9988 %	0.99723 %	0.992765 %	3101.1035442352295
4000	48	256	|	320	-1	squared_l2
0.8658 %	0.89832 %	0.925574 %	0.9363716 %	|	0.9994 %	0.9994 %	0.99814 %	0.9994 %	0.99814 %	0.995343 %	3105.1337718963623
4000	48	256	|	384	-1	squared_l2
0.8658 %	0.89859 %	0.926168 %	0.9386776 %	|	0.9994 %	0.9994 %	0.99884 %	0.9994 %	0.99884 %	0.996798 %	3314.077615737915
4000	48	256	|	448	-1	squared_l2
0.8659 %	0.89873 %	0.926568 %	0.940164 %	|	0.9996 %	0.9996 %	0.99926 %	0.9996 %	0.99926 %	0.997728 %	3421.093702316284
4000	48	256	|	512	-1	squared_l2
0.8661 %	0.89883 %	0.926852 %	0.9411456 %	|	0.9998 %	0.9998 %	0.9995 %	0.9998 %	0.9995 %	0.998396 %	3519.0703868865967
4000	48	256	|	576	-1	squared_l2
0.8662 %	0.89892 %	0.927041 %	0.9418118 %	|	0.9999 %	0.9999 %	0.99975 %	0.9999 %	0.99975 %	0.99883 %	3591.029167175293
4000	48	256	|	640	-1	squared_l2
0.8662 %	0.89893 %	0.927136 %	0.9422866 %	|	0.9999 %	0.9999 %	0.99983 %	0.9999 %	0.99983 %	0.999107 %	3712.9158973693848
4000	48	256	|	704	-1	squared_l2
0.8662 %	0.89896 %	0.927204 %	0.9426331 %	|	1.0 %	1.0 %	0.9999 %	1.0 %	0.9999 %	0.999288 %	4085.7672691345215
4000	48	256	|	768	-1	squared_l2
0.8662 %	0.89896 %	0.927253 %	0.9428991 %	|	1.0 %	1.0 %	0.99992 %	1.0 %	0.99992 %	0.999431 %	4143.496751785278
4000	48	256	|	1024	-1	squared_l2
0.8662 %	0.89899 %	0.927351 %	0.943475 %	|	1.0 %	1.0 %	0.99999 %	1.0 %	0.99999 %	0.999759 %	5101.187229156494
4000	48	256	|	1280	-1	squared_l2
0.8662 %	0.89899 %	0.927384 %	0.9437017 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.999897 %	6169.857978820801
4000	48	256	|	1536	-1	squared_l2
0.8662 %	0.89899 %	0.927398 %	0.9438095 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.999955 %	7654.300928115845
4000	48	256	|	2048	-1	squared_l2
0.8662 %	0.89899 %	0.927408 %	0.943883 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.99999 %	9716.165542602539
4000	96	256	|	1	-1	squared_l2
0.3752 %	0.32807 %	0.241458 %	0.1216466 %	|	0.3797 %	0.3798 %	0.32859 %	0.3798 %	0.32859 %	0.241471 %	2406.2538146972656
4000	96	256	|	16	-1	squared_l2
0.8829 %	0.85708 %	0.786859 %	0.6275253 %	|	0.9037 %	0.9038 %	0.86572 %	0.9038 %	0.86572 %	0.788378 %	2615.7541275024414
4000	96	256	|	32	-1	squared_l2
0.9307 %	0.91914 %	0.879714 %	0.7640523 %	|	0.955 %	0.955 %	0.93265 %	0.955 %	0.93265 %	0.883154 %	2676.703929901123
4000	96	256	|	64	-1	squared_l2
0.9576 %	0.95295 %	0.937398 %	0.8675653 %	|	0.9839 %	0.9839 %	0.97086 %	0.9839 %	0.97086 %	0.943707 %	2782.2670936584473
4000	96	256	|	128	-1	squared_l2
0.9675 %	0.96847 %	0.967275 %	0.9344452 %	|	0.9955 %	0.9955 %	0.98997 %	0.9955 %	0.98997 %	0.977148 %	3071.2625980377197
4000	96	256	|	256	-1	squared_l2
0.9705 %	0.97407 %	0.979509 %	0.9700986 %	|	0.9988 %	0.9988 %	0.99723 %	0.9988 %	0.99723 %	0.992765 %	3367.1016693115234
4000	96	256	|	320	-1	squared_l2
0.9711 %	0.97475 %	0.981242 %	0.9762948 %	|	0.9994 %	0.9994 %	0.99814 %	0.9994 %	0.99814 %	0.995343 %	3539.3900871276855
4000	96	256	|	384	-1	squared_l2
0.9711 %	0.97526 %	0.982185 %	0.9799495 %	|	0.9994 %	0.9994 %	0.99884 %	0.9994 %	0.99884 %	0.996798 %	3747.650623321533
4000	96	256	|	448	-1	squared_l2
0.9713 %	0.97554 %	0.982718 %	0.9822715 %	|	0.9996 %	0.9996 %	0.99926 %	0.9996 %	0.99926 %	0.997728 %	3969.3408012390137
4000	96	256	|	512	-1	squared_l2
