Program: faiss Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.4179 %	0.45996 %	0.42245 %	0.3097125 %	|	0.6292 %	0.6364 %	0.56141 %	0.6364 %	0.5615 %	0.457676 %	1948.1489658355713
1000	64	16	|	4	-1	squared_l2
0.4827 %	0.54496 %	0.537163 %	0.4463163 %	|	0.7659 %	0.7812 %	0.7132 %	0.7812 %	0.71352 %	0.614149 %	3444.7567462921143
1000	64	16	|	8	-1	squared_l2
0.5256 %	0.60106 %	0.623915 %	0.5789266 %	|	0.8679 %	0.8923 %	0.84173 %	0.8923 %	0.84247 %	0.761593 %	6130.336046218872
1000	64	16	|	16	-1	squared_l2
0.5479 %	0.63244 %	0.676496 %	0.6810957 %	|	0.9278 %	0.9586 %	0.9297 %	0.9586 %	0.93134 %	0.8804 %	11496.109247207642
1000	64	16	|	25	-1	squared_l2
0.5563 %	0.6423 %	0.695317 %	0.7235768 %	|	0.9469 %	0.9821 %	0.96336 %	0.9821 %	0.96565 %	0.933676 %	16950.40798187256
1000	64	16	|	30	-1	squared_l2
0.5569 %	0.64462 %	0.700342 %	0.7360231 %	|	0.9517 %	0.988 %	0.97284 %	0.988 %	0.97543 %	0.949975 %	20180.291414260864
1000	64	16	|	35	-1	squared_l2
0.5572 %	0.64595 %	0.703699 %	0.7446769 %	|	0.9543 %	0.9916 %	0.97912 %	0.9916 %	0.9819 %	0.961417 %	23253.17668914795
1000	64	16	|	40	-1	squared_l2
0.5582 %	0.64715 %	0.70587 %	0.7509138 %	|	0.9559 %	0.9941 %	0.98368 %	0.9941 %	0.98658 %	0.969699 %	26439.562797546387
1000	64	16	|	45	-1	squared_l2
0.5585 %	0.6477 %	0.707449 %	0.7554649 %	|	0.9568 %	0.9953 %	0.98657 %	0.9953 %	0.98958 %	0.975849 %	29329.360246658325
1000	64	16	|	50	-1	squared_l2
0.5588 %	0.64817 %	0.70867 %	0.7589444 %	|	0.9575 %	0.9963 %	0.98881 %	0.9963 %	0.99191 %	0.980643 %	32044.356107711792
1000	64	16	|	55	-1	squared_l2
0.5583 %	0.64861 %	0.709593 %	0.7615688 %	|	0.9587 %	0.9974 %	0.99088 %	0.9974 %	0.99409 %	0.984313 %	35237.34903335571
1000	64	16	|	60	-1	squared_l2
0.5595 %	0.64872 %	0.710221 %	0.763627 %	|	0.9591 %	0.9981 %	0.99208 %	0.9981 %	0.99535 %	0.987145 %	38015.00678062439
1000	64	16	|	65	-1	squared_l2
0.5586 %	0.64899 %	0.710675 %	0.7652496 %	|	0.9593 %	0.9983 %	0.993 %	0.9983 %	0.99634 %	0.98944 %	40795.28999328613
1000	64	16	|	75	-1	squared_l2
0.5596 %	0.64916 %	0.711332 %	0.7676072 %	|	0.9596 %	0.9989 %	0.99421 %	0.9989 %	0.9976 %	0.992751 %	46621.67692184448
1000	64	16	|	90	-1	squared_l2
0.5598 %	0.64938 %	0.711905 %	0.7697425 %	|	0.9598 %	0.9992 %	0.99531 %	0.9992 %	0.99877 %	0.99559 %	54910.178899765015
1000	64	16	|	110	-1	squared_l2
0.5598 %	0.64953 %	0.712222 %	0.7711994 %	|	0.9601 %	0.9996 %	0.99591 %	0.9996 %	0.99939 %	0.997544 %	66375.1814365387
1000	64	16	|	130	-1	squared_l2
0.56 %	0.64954 %	0.712374 %	0.7719338 %	|	0.9603 %	0.9998 %	0.99625 %	0.9998 %	0.99975 %	0.998522 %	77125.71263313293
1000	64	16	|	150	-1	squared_l2
0.5598 %	0.64956 %	0.712437 %	0.7723082 %	|	0.9602 %	0.9999 %	0.99631 %	0.9999 %	0.99983 %	0.999036 %	88731.87375068665
1000	64	16	|	170	-1	squared_l2
0.5599 %	0.64957 %	0.712479 %	0.7725201 %	|	0.9603 %	1.0 %	0.99638 %	1.0 %	0.9999 %	0.999311 %	99169.11625862122
1000	64	16	|	200	-1	squared_l2
0.56 %	0.64956 %	0.7125 %	0.7726647 %	|	0.9603 %	1.0 %	0.99647 %	1.0 %	0.99999 %	0.999508 %	114386.51251792908
1000	64	16	|	220	-1	squared_l2
0.5599 %	0.64957 %	0.712505 %	0.7727144 %	|	0.9603 %	1.0 %	0.99647 %	1.0 %	0.99999 %	0.999577 %	129536.03291511536
1000	64	16	|	250	-1	squared_l2
0.5599 %	0.64956 %	0.712508 %	0.7727454 %	|	0.9603 %	1.0 %	0.99648 %	1.0 %	1.0 %	0.999628 %	142915.5683517456
1000	64	16	|	310	-1	squared_l2
0.5598 %	0.64956 %	0.712512 %	0.7727649 %	|	0.9603 %	1.0 %	0.99648 %	1.0 %	1.0 %	0.999658 %	173148.8230228424
1000	64	16	|	400	-1	squared_l2
0.5598 %	0.64956 %	0.712513 %	0.7727691 %	|	0.9603 %	1.0 %	0.99648 %	1.0 %	1.0 %	0.999667 %	218283.9651107788
1000	64	16	|	500	-1	squared_l2
0.5598 %	0.64956 %	0.712513 %	0.7727693 %	|	0.9603 %	1.0 %	0.99648 %	1.0 %	1.0 %	0.999667 %	267424.928188324
1000	64	16	|	800	-1	squared_l2
0.5598 %	0.64956 %	0.712513 %	0.7727694 %	|	0.9603 %	1.0 %	0.99648 %	1.0 %	1.0 %	0.999667 %	405467.6458835602
1000	64	16	|	1000	-1	squared_l2
0.5598 %	0.64956 %	0.712513 %	0.7727694 %	|	0.9603 %	1.0 %	0.99648 %	1.0 %	1.0 %	0.999667 %	536646.2872028351
1000	128	16	|	1	-1	squared_l2
0.4125 %	0.38946 %	0.311234 %	0.1962292 %	|	0.4742 %	0.4742 %	0.40386 %	0.4742 %	0.40386 %	0.313886 %	1864.6321296691895
1000	128	16	|	2	-1	squared_l2
0.5389 %	0.53158 %	0.450547 %	0.3122809 %	|	0.6364 %	0.6364 %	0.5615 %	0.6364 %	0.5615 %	0.457676 %	3350.7683277130127
1000	128	16	|	4	-1	squared_l2
0.6427 %	0.65874 %	0.596452 %	0.4569509 %	|	0.7811 %	0.7812 %	0.71352 %	0.7812 %	0.71352 %	0.61415 %	6206.758499145508
1000	128	16	|	8	-1	squared_l2
0.717 %	0.75261 %	0.723083 %	0.6113151 %	|	0.8922 %	0.8923 %	0.84247 %	0.8923 %	0.84247 %	0.761595 %	11614.259243011475
1000	128	16	|	16	-1	squared_l2
0.7594 %	0.80763 %	0.811111 %	0.7508373 %	|	0.9584 %	0.9586 %	0.93134 %	0.9586 %	0.93134 %	0.880428 %	21841.81571006775
1000	128	16	|	25	-1	squared_l2
0.7753 %	0.82544 %	0.843703 %	0.8175669 %	|	0.9817 %	0.9821 %	0.96565 %	0.9821 %	0.96565 %	0.933726 %	32800.11224746704
1000	128	16	|	30	-1	squared_l2
0.7789 %	0.83029 %	0.852629 %	0.838186 %	|	0.9876 %	0.988 %	0.97543 %	0.988 %	0.97543 %	0.950052 %	38955.397844314575
1000	128	16	|	35	-1	squared_l2
0.7806 %	0.8337 %	0.858574 %	0.8527238 %	|	0.9912 %	0.9916 %	0.9819 %	0.9916 %	0.9819 %	0.961517 %	45012.667417526245
1000	128	16	|	40	-1	squared_l2
0.7818 %	0.83599 %	0.862713 %	0.8632468 %	|	0.9936 %	0.9941 %	0.98658 %	0.9941 %	0.98658 %	0.969824 %	50945.584535598755
1000	128	16	|	45	-1	squared_l2
0.7823 %	0.8371 %	0.865486 %	0.8710521 %	|	0.9948 %	0.9953 %	0.98958 %	0.9953 %	0.98958 %	0.975995 %	56602.13613510132
1000	128	16	|	50	-1	squared_l2
0.783 %	0.83816 %	0.86765 %	0.8770182 %	|	0.9958 %	0.9963 %	0.99191 %	0.9963 %	0.99191 %	0.980805 %	62824.36919212341
1000	128	16	|	55	-1	squared_l2
0.7834 %	0.83907 %	0.869347 %	0.881584 %	|	0.9969 %	0.9974 %	0.99409 %	0.9974 %	0.99409 %	0.984497 %	68107.23376274109
1000	128	16	|	60	-1	squared_l2
0.7835 %	0.83949 %	0.870547 %	0.8851114 %	|	0.9976 %	0.9981 %	0.99535 %	0.9981 %	0.99535 %	0.987343 %	74257.32016563416
1000	128	16	|	65	-1	squared_l2
0.7845 %	0.84001 %	0.871523 %	0.8879599 %	|	0.9978 %	0.9983 %	0.99634 %	0.9983 %	0.99634 %	0.989648 %	79487.06912994385
1000	128	16	|	75	-1	squared_l2
0.7854 %	0.84054 %	0.872902 %	0.8920796 %	|	0.9984 %	0.9989 %	0.9976 %	0.9989 %	0.9976 %	0.992993 %	91470.32284736633
1000	128	16	|	90	-1	squared_l2
0.7849 %	0.84088 %	0.87405 %	0.8959022 %	|	0.9987 %	0.9992 %	0.99877 %	0.9992 %	0.99877 %	0.99586 %	108062.09325790405
1000	128	16	|	110	-1	squared_l2
