Program: faiss Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
4000	100	16	|	320	-1	dot_product
0.5933 %	0.75212 %	0.850964 %	0.8645708 %	|	0.9303 %	0.9674 %	0.95937 %	0.9689 %	0.96518 %	0.958404 %	32528.292417526245
4000	100	16	|	384	-1	dot_product
0.5937 %	0.75285 %	0.852075 %	0.8669031 %	|	0.9317 %	0.9692 %	0.96143 %	0.9708 %	0.9674 %	0.960725 %	36388.86833190918
4000	100	16	|	448	-1	dot_product
0.5946 %	0.75344 %	0.852819 %	0.868719 %	|	0.9331 %	0.9712 %	0.96292 %	0.973 %	0.96902 %	0.962463 %	40210.30497550964
4000	100	16	|	512	-1	dot_product
0.5947 %	0.75378 %	0.853447 %	0.870244 %	|	0.934 %	0.9723 %	0.96414 %	0.9741 %	0.97032 %	0.963915 %	43910.48526763916
4000	100	16	|	576	-1	dot_product
0.5952 %	0.75425 %	0.853994 %	0.8715568 %	|	0.9348 %	0.9735 %	0.96548 %	0.9753 %	0.97179 %	0.96526 %	47485.912799835205
4000	100	16	|	640	-1	dot_product
0.5954 %	0.75454 %	0.854477 %	0.8726537 %	|	0.9357 %	0.9746 %	0.96642 %	0.9764 %	0.97281 %	0.966446 %	51114.86506462097
4000	100	16	|	704	-1	dot_product
0.5955 %	0.75468 %	0.854821 %	0.8736106 %	|	0.9361 %	0.9752 %	0.96693 %	0.977 %	0.97341 %	0.967331 %	54653.61571311951
4000	100	16	|	768	-1	dot_product
0.5955 %	0.75485 %	0.855156 %	0.8744921 %	|	0.9362 %	0.9755 %	0.96757 %	0.9773 %	0.97408 %	0.968195 %	58211.42554283142
4000	100	16	|	1024	-1	dot_product
0.5964 %	0.75553 %	0.856323 %	0.8773406 %	|	0.9382 %	0.9786 %	0.96991 %	0.9804 %	0.97658 %	0.971189 %	72210.34979820251
4000	10	64	|	1	-1	dot_product
0.069 %	0.17904 %	0.277889 %	0.1850437 %	|	0.2532 %	0.4347 %	0.4002 %	0.4646 %	0.44136 %	0.361469 %	364.70937728881836
4000	10	64	|	16	-1	dot_product
0.0852 %	0.22191 %	0.390384 %	0.4867525 %	|	0.3287 %	0.6771 %	0.60977 %	0.8641 %	0.84929 %	0.789052 %	938.4114742279053
4000	10	64	|	32	-1	dot_product
0.0854 %	0.22223 %	0.39115 %	0.4908504 %	|	0.3293 %	0.6804 %	0.61204 %	0.8796 %	0.8617 %	0.800798 %	1379.7438144683838
4000	10	64	|	64	-1	dot_product
0.0855 %	0.22237 %	0.391466 %	0.4918341 %	|	0.3295 %	0.6815 %	0.61311 %	0.8866 %	0.86806 %	0.805321 %	2001.652717590332
4000	10	64	|	128	-1	dot_product
0.0855 %	0.22239 %	0.391608 %	0.4920472 %	|	0.3295 %	0.6821 %	0.61351 %	0.8898 %	0.87127 %	0.807701 %	2847.543716430664
4000	10	64	|	256	-1	dot_product
0.0855 %	0.2224 %	0.391671 %	0.4919463 %	|	0.3295 %	0.6827 %	0.61381 %	0.8927 %	0.87369 %	0.809132 %	4135.95724105835
4000	10	64	|	320	-1	dot_product
0.0855 %	0.2224 %	0.391678 %	0.4918677 %	|	0.3295 %	0.6828 %	0.61386 %	0.8933 %	0.87427 %	0.809452 %	4694.418907165527
4000	10	64	|	384	-1	dot_product
0.0855 %	0.22241 %	0.39169 %	0.4918002 %	|	0.3295 %	0.6828 %	0.6139 %	0.8938 %	0.87473 %	0.80966 %	5218.203067779541
4000	10	64	|	448	-1	dot_product
0.0855 %	0.22241 %	0.391696 %	0.4917271 %	|	0.3295 %	0.6828 %	0.61393 %	0.8941 %	0.87513 %	0.809844 %	5733.71958732605
4000	10	64	|	512	-1	dot_product
0.0855 %	0.22241 %	0.391703 %	0.4916811 %	|	0.3295 %	0.6828 %	0.61395 %	0.8941 %	0.87534 %	0.809981 %	6227.607488632202
4000	10	64	|	576	-1	dot_product
0.0855 %	0.22241 %	0.391704 %	0.4916262 %	|	0.3295 %	0.6829 %	0.61398 %	0.8943 %	0.87568 %	0.810097 %	6721.13561630249
4000	10	64	|	640	-1	dot_product
0.0856 %	0.22242 %	0.39171 %	0.4915827 %	|	0.3296 %	0.683 %	0.61399 %	0.8945 %	0.87585 %	0.810225 %	7213.438272476196
4000	10	64	|	704	-1	dot_product
0.0856 %	0.2224 %	0.391713 %	0.4915448 %	|	0.3296 %	0.683 %	0.61399 %	0.8945 %	0.87595 %	0.810295 %	7695.984125137329
4000	10	64	|	768	-1	dot_product
0.0856 %	0.2224 %	0.391712 %	0.4915095 %	|	0.3296 %	0.683 %	0.614 %	0.8945 %	0.87613 %	0.810387 %	8183.074235916138
4000	10	64	|	1024	-1	dot_product
