Program: scann Topk: 1000 Num_split: 1 Batch: 128
L	Threashold	m	|	w	r	Metric
0.162 %	0.2862 %	0.39564 %	0.512224 %	|	0.593 %	0.941 %	0.8 %	1.0 %	0.9937 %	0.92541 %	246.7784881591797
800	0.2	32	|	1	-1	dot_product
0.03 %	0.0698 %	0.14418 %	0.215673 %	|	0.124 %	0.342 %	0.2623 %	0.408 %	0.3835 %	0.33001 %	34.178972244262695
800	0.2	32	|	2	-1	dot_product
0.033 %	0.0794 %	0.15799 %	0.272333 %	|	0.149 %	0.435 %	0.3198 %	0.574 %	0.5402 %	0.46118 %	28.778076171875
800	0.2	32	|	4	-1	dot_product
0.034 %	0.0783 %	0.16201 %	0.299559 %	|	0.159 %	0.505 %	0.3549 %	0.732 %	0.6777 %	0.56059 %	26.72743797302246
800	0.2	32	|	8	-1	dot_product
0.038 %	0.0792 %	0.16159 %	0.309767 %	|	0.167 %	0.545 %	0.3721 %	0.837 %	0.7739 %	0.61688 %	29.72865104675293
800	0.2	32	|	16	-1	dot_product
0.04 %	0.0784 %	0.15949 %	0.309617 %	|	0.167 %	0.559 %	0.3729 %	0.893 %	0.8221 %	0.64138 %	49.94320869445801
800	0.2	32	|	25	-1	dot_product
0.04 %	0.0783 %	0.15829 %	0.308165 %	|	0.164 %	0.563 %	0.3732 %	0.92 %	0.8392 %	0.64716 %	43.567657470703125
800	0.2	32	|	30	-1	dot_product
0.04 %	0.0783 %	0.15784 %	0.307563 %	|	0.163 %	0.561 %	0.373 %	0.926 %	0.8442 %	0.64792 %	42.95039176940918
800	0.2	32	|	35	-1	dot_product
0.04 %	0.0782 %	0.15755 %	0.307003 %	|	0.163 %	0.561 %	0.3726 %	0.934 %	0.8468 %	0.64751 %	68.89033317565918
800	0.2	32	|	40	-1	dot_product
0.04 %	0.0779 %	0.1572 %	0.306465 %	|	0.163 %	0.56 %	0.3722 %	0.936 %	0.8484 %	0.64757 %	64.26596641540527
800	0.2	32	|	45	-1	dot_product
0.04 %	0.078 %	0.15708 %	0.306167 %	|	0.163 %	0.557 %	0.372 %	0.935 %	0.8497 %	0.64767 %	62.02411651611328
800	0.2	32	|	50	-1	dot_product
0.04 %	0.0781 %	0.1571 %	0.305901 %	|	0.163 %	0.557 %	0.3719 %	0.936 %	0.8508 %	0.64786 %	46.81110382080078
800	0.2	32	|	55	-1	dot_product
0.04 %	0.0777 %	0.15703 %	0.305652 %	|	0.161 %	0.557 %	0.3718 %	0.936 %	0.8513 %	0.64751 %	61.107635498046875
800	0.2	32	|	60	-1	dot_product
0.04 %	0.0777 %	0.15701 %	0.305514 %	|	0.161 %	0.556 %	0.3714 %	0.937 %	0.8518 %	0.6477 %	54.10361289978027
800	0.2	32	|	65	-1	dot_product
0.039 %	0.0776 %	0.157 %	0.305306 %	|	0.16 %	0.556 %	0.3716 %	0.938 %	0.8522 %	0.64761 %	63.78984451293945
800	0.2	32	|	75	-1	dot_product
0.039 %	0.0774 %	0.1569 %	0.305041 %	|	0.16 %	0.556 %	0.3716 %	0.941 %	0.8528 %	0.64751 %	56.26797676086426
800	0.2	32	|	90	-1	dot_product
0.039 %	0.0773 %	0.15688 %	0.304811 %	|	0.16 %	0.556 %	0.3718 %	0.939 %	0.8536 %	0.64731 %	76.42102241516113
800	0.2	32	|	110	-1	dot_product
0.039 %	0.0774 %	0.15679 %	0.304652 %	|	0.16 %	0.555 %	0.3715 %	0.938 %	0.8536 %	0.64733 %	78.27353477478027
800	0.2	32	|	130	-1	dot_product
0.039 %	0.0773 %	0.15672 %	0.304498 %	|	0.16 %	0.554 %	0.3714 %	0.938 %	0.8538 %	0.64727 %	81.26449584960938
800	0.2	32	|	150	-1	dot_product
0.039 %	0.0773 %	0.15672 %	0.304457 %	|	0.16 %	0.554 %	0.3713 %	0.938 %	0.8542 %	0.64731 %	72.47018814086914
800	0.2	32	|	170	-1	dot_product
0.039 %	0.0773 %	0.15673 %	0.304436 %	|	0.16 %	0.555 %	0.3715 %	0.94 %	0.8547 %	0.64732 %	95.48711776733398
800	0.2	32	|	200	-1	dot_product
0.039 %	0.0773 %	0.15674 %	0.304419 %	|	0.16 %	0.555 %	0.3715 %	0.941 %	0.8548 %	0.64742 %	121.54698371887207
800	0.2	32	|	220	-1	dot_product
0.039 %	0.0773 %	0.15673 %	0.30441 %	|	0.16 %	0.555 %	0.3715 %	0.941 %	0.8547 %	0.64744 %	118.87264251708984
800	0.2	32	|	250	-1	dot_product
0.039 %	0.0773 %	0.15673 %	0.304416 %	|	0.16 %	0.555 %	0.3715 %	0.942 %	0.8549 %	0.64746 %	90.05475044250488
800	0.2	32	|	310	-1	dot_product
0.039 %	0.0773 %	0.15673 %	0.304404 %	|	0.16 %	0.555 %	0.3715 %	0.942 %	0.855 %	0.64742 %	120.38612365722656
800	0.2	32	|	400	-1	dot_product
0.039 %	0.0773 %	0.15673 %	0.304402 %	|	0.16 %	0.555 %	0.3715 %	0.942 %	0.855 %	0.64742 %	112.30182647705078
800	0.2	32	|	500	-1	dot_product
0.039 %	0.0773 %	0.15673 %	0.3044 %	|	0.16 %	0.555 %	0.3715 %	0.942 %	0.855 %	0.64741 %	177.56152153015137
800	0.2	32	|	800	-1	dot_product
0.039 %	0.0773 %	0.15673 %	0.3044 %	|	0.16 %	0.555 %	0.3715 %	0.942 %	0.855 %	0.64741 %	220.76153755187988
800	0.2	16	|	1	-1	dot_product
0.015 %	0.0289 %	0.07649 %	0.192122 %	|	0.062 %	0.19 %	0.1397 %	0.399 %	0.3654 %	0.3037 %	35.18533706665039
800	0.2	16	|	2	-1	dot_product
0.016 %	0.0323 %	0.07979 %	0.216074 %	|	0.072 %	0.232 %	0.1596 %	0.547 %	0.4859 %	0.38303 %	33.84113311767578
800	0.2	16	|	4	-1	dot_product
0.021 %	0.034 %	0.07844 %	0.218721 %	|	0.078 %	0.254 %	0.1677 %	0.651 %	0.5643 %	0.42138 %	40.854454040527344
800	0.2	16	|	8	-1	dot_product
