Program: scann Topk: 1000 Num_split: 20 Batch: 128
L	Threashold	m	|	w	r	Metric
7000	0.2	48	|	32	-1	squared_l2
0.3477 %	0.38895 %	0.429727 %	0.4908328 %	|	0.7038 %	0.9151 %	0.79476 %	0.9752 %	0.95543 %	0.860695 %	21187.507152557373
7000	0.2	48	|	64	-1	squared_l2
0.3501 %	0.39067 %	0.432524 %	0.4959667 %	|	0.7081 %	0.9236 %	0.80257 %	0.9852 %	0.96804 %	0.875293 %	38749.2995262146
7000	0.2	48	|	128	-1	squared_l2
0.351 %	0.39142 %	0.433503 %	0.4977451 %	|	0.7095 %	0.9262 %	0.80527 %	0.9885 %	0.97326 %	0.881078 %	73065.70053100586
7000	0.2	48	|	256	-1	squared_l2
0.3516 %	0.39153 %	0.433763 %	0.4981982 %	|	0.71 %	0.9272 %	0.80616 %	0.9896 %	0.97471 %	0.882755 %	139183.92062187195
7000	0.2	48	|	320	-1	squared_l2
0.3516 %	0.39145 %	0.433768 %	0.4982455 %	|	0.7094 %	0.9275 %	0.80641 %	0.9898 %	0.97502 %	0.883 %	171863.10386657715
7000	0.2	48	|	384	-1	squared_l2
0.3517 %	0.39146 %	0.433799 %	0.4982572 %	|	0.7091 %	0.9274 %	0.80629 %	0.9898 %	0.97507 %	0.883052 %	204114.30478096008
7000	0.2	48	|	448	-1	squared_l2
0.3517 %	0.39152 %	0.433781 %	0.4982693 %	|	0.7087 %	0.9273 %	0.80632 %	0.9899 %	0.97512 %	0.883139 %	236343.1417942047
7000	0.2	48	|	512	-1	squared_l2
0.3517 %	0.39141 %	0.433764 %	0.4982674 %	|	0.7088 %	0.9274 %	0.8063 %	0.9899 %	0.97514 %	0.883168 %	268341.9282436371
7000	0.2	48	|	576	-1	squared_l2
0.3517 %	0.39135 %	0.433784 %	0.4982579 %	|	0.7088 %	0.9275 %	0.80631 %	0.9899 %	0.97516 %	0.883197 %	300291.42236709595
7000	0.2	48	|	640	-1	squared_l2
0.3517 %	0.39134 %	0.433787 %	0.4982683 %	|	0.7088 %	0.9276 %	0.80632 %	0.9899 %	0.97514 %	0.883188 %	332247.1036911011
7000	0.2	48	|	704	-1	squared_l2
0.3517 %	0.39133 %	0.433772 %	0.4982705 %	|	0.7089 %	0.9275 %	0.80626 %	0.9899 %	0.97515 %	0.883199 %	364038.0771160126
7000	0.2	48	|	768	-1	squared_l2
0.3517 %	0.3913 %	0.433783 %	0.4982637 %	|	0.7088 %	0.9275 %	0.8063 %	0.9899 %	0.97516 %	0.883216 %	395867.9711818695
7000	0.2	48	|	1024	-1	squared_l2
0.3517 %	0.39129 %	0.433765 %	0.4982776 %	|	0.7088 %	0.9276 %	0.80634 %	0.9899 %	0.97517 %	0.883233 %	523041.90397262573
7000	0.2	48	|	1280	-1	squared_l2
0.3517 %	0.39134 %	0.433774 %	0.4982734 %	|	0.7089 %	0.9275 %	0.80637 %	0.9899 %	0.97518 %	0.883228 %	649282.2318077087
7000	0.2	48	|	1536	-1	squared_l2
0.3517 %	0.39135 %	0.433786 %	0.4982778 %	|	0.7088 %	0.9275 %	0.80635 %	0.9899 %	0.97518 %	0.883226 %	775421.0486412048
7000	0.2	48	|	2048	-1	squared_l2
0.3516 %	0.39137 %	0.433782 %	0.4982728 %	|	0.7089 %	0.9275 %	0.80637 %	0.9899 %	0.97519 %	0.883235 %	1028463.2143974304
7000	0.2	48	|	2560	-1	squared_l2
