Program: faiss Topk: 1000 Num_split: 20 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.0283 %	0.03985 %	0.043782 %	0.0472473 %	|	0.0456 %	0.0495 %	0.04967 %	0.0506 %	0.05138 %	0.049864 %	665283.5512161255
7000	12	256	|	576	-1	squared_l2
0.0283 %	0.03985 %	0.043782 %	0.0472486 %	|	0.0456 %	0.0495 %	0.04967 %	0.0506 %	0.05138 %	0.049865 %	747677.9127120972
7000	12	256	|	640	-1	squared_l2
0.0283 %	0.03985 %	0.043782 %	0.0472491 %	|	0.0456 %	0.0495 %	0.04967 %	0.0506 %	0.05138 %	0.049866 %	828789.6299362183
7000	12	256	|	704	-1	squared_l2
0.0283 %	0.03985 %	0.043782 %	0.0472496 %	|	0.0456 %	0.0495 %	0.04967 %	0.0506 %	0.05138 %	0.049866 %	893371.0289001465
7000	12	256	|	768	-1	squared_l2
0.0283 %	0.03985 %	0.043782 %	0.0472502 %	|	0.0456 %	0.0495 %	0.04967 %	0.0506 %	0.05138 %	0.049866 %	969236.3691329956
7000	12	256	|	1024	-1	squared_l2
0.0283 %	0.03985 %	0.043782 %	0.0472507 %	|	0.0456 %	0.0495 %	0.04967 %	0.0506 %	0.05138 %	0.049867 %	1269182.7201843262
8000	96	256	|	1	-1	squared_l2
0.027 %	0.02424 %	0.02076 %	0.018051 %	|	0.027 %	0.0271 %	0.02429 %	0.0273 %	0.02443 %	0.020945 %	26006.898880004883
8000	96	256	|	16	-1	squared_l2
0.0484 %	0.04845 %	0.046134 %	0.0444177 %	|	0.0485 %	0.0486 %	0.04851 %	0.0488 %	0.04864 %	0.046317 %	204107.78045654297
8000	96	256	|	32	-1	squared_l2
0.0499 %	0.05018 %	0.048377 %	0.0474018 %	|	0.05 %	0.0501 %	0.05023 %	0.0503 %	0.05037 %	0.04856 %	378230.0138473511
8000	96	256	|	64	-1	squared_l2
0.0501 %	0.0509 %	0.049472 %	0.0490424 %	|	0.0502 %	0.0503 %	0.05096 %	0.0505 %	0.05109 %	0.04966 %	711692.0137405396
8000	96	256	|	128	-1	squared_l2
0.0501 %	0.05117 %	0.049902 %	0.0498015 %	|	0.0502 %	0.0503 %	0.05122 %	0.0505 %	0.05136 %	0.050085 %	1350848.684310913
8000	96	256	|	256	-1	squared_l2
0.0504 %	0.05131 %	0.05006 %	0.0500801 %	|	0.0505 %	0.0506 %	0.05137 %	0.0508 %	0.0515 %	0.050245 %	2550555.2339553833
8000	96	256	|	320	-1	squared_l2
0.0504 %	0.05132 %	0.050077 %	0.0501238 %	|	0.0505 %	0.0506 %	0.05137 %	0.0508 %	0.05151 %	0.050265 %	3129461.693763733
8000	96	256	|	384	-1	squared_l2
0.0504 %	0.05133 %	0.050088 %	0.0501487 %	|	0.0505 %	0.0506 %	0.05138 %	0.0508 %	0.05152 %	0.050276 %	3720171.7138290405
8000	96	256	|	448	-1	squared_l2
0.0504 %	0.05133 %	0.050093 %	0.0501631 %	|	0.0505 %	0.0506 %	0.05138 %	0.0508 %	0.05152 %	0.050281 %	4264613.599777222
8000	96	256	|	512	-1	squared_l2
0.0504 %	0.05133 %	0.050095 %	0.0501734 %	|	0.0505 %	0.0506 %	0.05138 %	0.0508 %	0.05152 %	0.050283 %	4830317.206382751
8000	96	256	|	576	-1	squared_l2
0.0504 %	0.05133 %	0.050096 %	0.0501795 %	|	0.0505 %	0.0506 %	0.05138 %	0.0508 %	0.05152 %	0.050284 %	5354457.788467407
8000	96	256	|	640	-1	squared_l2
0.0504 %	0.05133 %	0.050099 %	0.050184 %	|	0.0505 %	0.0506 %	0.05138 %	0.0508 %	0.05152 %	0.050287 %	5967670.292854309
8000	96	256	|	704	-1	squared_l2
0.0504 %	0.05133 %	0.050101 %	0.0501869 %	|	0.0505 %	0.0506 %	0.05138 %	0.0508 %	0.05152 %	0.050289 %	6415246.696472168
8000	96	256	|	768	-1	squared_l2
0.0504 %	0.05133 %	0.050101 %	0.0501887 %	|	0.0505 %	0.0506 %	0.05138 %	0.0508 %	0.05152 %	0.050289 %	6975790.934562683
8000	96	256	|	1024	-1	squared_l2
0.0504 %	0.05133 %	0.050101 %	0.0501931 %	|	0.0505 %	0.0506 %	0.05138 %	0.0508 %	0.05152 %	0.050289 %	9198984.937667847
8000	48	256	|	1	-1	squared_l2
0.0266 %	0.02422 %	0.020757 %	0.018051 %	|	0.027 %	0.0272 %	0.02428 %	0.0273 %	0.02443 %	0.020945 %	19078.60279083252
8000	48	256	|	16	-1	squared_l2
0.0476 %	0.04843 %	0.046132 %	0.0444177 %	|	0.0485 %	0.0487 %	0.04848 %	0.0488 %	0.04864 %	0.046317 %	100880.25569915771
8000	48	256	|	32	-1	squared_l2
0.0491 %	0.05016 %	0.048372 %	0.0474018 %	|	0.05 %	0.0502 %	0.0502 %	0.0503 %	0.05037 %	0.04856 %	181284.0700149536
8000	48	256	|	64	-1	squared_l2
0.0493 %	0.05088 %	0.049474 %	0.0490424 %	|	0.0502 %	0.0504 %	0.05093 %	0.0505 %	0.05109 %	0.04966 %	334344.3489074707
8000	48	256	|	128	-1	squared_l2
0.0493 %	0.05115 %	0.049905 %	0.0498015 %	|	0.0502 %	0.0504 %	0.05121 %	0.0505 %	0.05136 %	0.050085 %	626158.07056427
8000	48	256	|	256	-1	squared_l2
0.0496 %	0.05129 %	0.050058 %	0.0500801 %	|	0.0505 %	0.0507 %	0.05135 %	0.0508 %	0.0515 %	0.050245 %	1177530.9705734253
8000	48	256	|	320	-1	squared_l2
0.0496 %	0.0513 %	0.050078 %	0.0501238 %	|	0.0505 %	0.0507 %	0.05136 %	0.0508 %	0.05151 %	0.050265 %	1445147.9053497314
8000	48	256	|	384	-1	squared_l2
0.0496 %	0.05131 %	0.050089 %	0.0501487 %	|	0.0505 %	0.0507 %	0.05137 %	0.0508 %	0.05152 %	0.050276 %	1708129.2486190796
8000	48	256	|	448	-1	squared_l2
0.0496 %	0.05131 %	0.050094 %	0.0501631 %	|	0.0505 %	0.0507 %	0.05137 %	0.0508 %	0.05152 %	0.050281 %	1969448.8525390625
8000	48	256	|	512	-1	squared_l2
0.0496 %	0.05131 %	0.050096 %	0.0501734 %	|	0.0505 %	0.0507 %	0.05137 %	0.0508 %	0.05152 %	0.050283 %	2228850.154876709
8000	48	256	|	576	-1	squared_l2
0.0496 %	0.05131 %	0.050097 %	0.0501795 %	|	0.0505 %	0.0507 %	0.05137 %	0.0508 %	0.05152 %	0.050284 %	2486039.047241211
8000	48	256	|	640	-1	squared_l2
0.0496 %	0.05131 %	0.0501 %	0.050184 %	|	0.0505 %	0.0507 %	0.05137 %	0.0508 %	0.05152 %	0.050287 %	2736545.2909469604
8000	48	256	|	704	-1	squared_l2
0.0496 %	0.05131 %	0.050102 %	0.0501869 %	|	0.0505 %	0.0507 %	0.05137 %	0.0508 %	0.05152 %	0.050289 %	2982457.823753357
8000	48	256	|	768	-1	squared_l2
0.0496 %	0.05131 %	0.050102 %	0.0501887 %	|	0.0505 %	0.0507 %	0.05137 %	0.0508 %	0.05152 %	0.050289 %	3234092.1354293823
8000	48	256	|	1024	-1	squared_l2
0.0496 %	0.05131 %	0.050102 %	0.0501931 %	|	0.0505 %	0.0507 %	0.05137 %	0.0508 %	0.05152 %	0.050289 %	4233951.363563538
8000	24	256	|	1	-1	squared_l2
0.0247 %	0.02403 %	0.020707 %	0.0180442 %	|	0.0269 %	0.0271 %	0.02423 %	0.0273 %	0.02443 %	0.020943 %	15783.696174621582
8000	24	256	|	16	-1	squared_l2
0.0428 %	0.04788 %	0.046032 %	0.0444048 %	|	0.0484 %	0.0486 %	0.04843 %	0.0488 %	0.04864 %	0.046315 %	56129.89902496338
8000	24	256	|	32	-1	squared_l2
0.0439 %	0.04958 %	0.048265 %	0.0473873 %	|	0.0499 %	0.0501 %	0.05016 %	0.0503 %	0.05037 %	0.048558 %	95074.37229156494
8000	24	256	|	64	-1	squared_l2
0.044 %	0.05031 %	0.049357 %	0.0490262 %	|	0.0501 %	0.0503 %	0.05089 %	0.0505 %	0.05109 %	0.049658 %	169668.90811920166
8000	24	256	|	128	-1	squared_l2
0.044 %	0.05057 %	0.049782 %	0.0497828 %	|	0.0501 %	0.0503 %	0.05115 %	0.0505 %	0.05136 %	0.050083 %	311417.54627227783
8000	24	256	|	256	-1	squared_l2
0.0443 %	0.05071 %	0.049936 %	0.0500595 %	|	0.0504 %	0.0506 %	0.05129 %	0.0508 %	0.0515 %	0.050243 %	580285.7828140259
8000	24	256	|	320	-1	squared_l2
0.0443 %	0.05072 %	0.049956 %	0.0501025 %	|	0.0504 %	0.0506 %	0.0513 %	0.0508 %	0.05151 %	0.050263 %	710510.3397369385
8000	24	256	|	384	-1	squared_l2
0.0443 %	0.05073 %	0.049966 %	0.0501271 %	|	0.0504 %	0.0506 %	0.05131 %	0.0508 %	0.05152 %	0.050274 %	839409.4228744507
8000	24	256	|	448	-1	squared_l2
0.0443 %	0.05073 %	0.049971 %	0.0501415 %	|	0.0504 %	0.0506 %	0.05131 %	0.0508 %	0.05152 %	0.050279 %	968795.7191467285
8000	24	256	|	512	-1	squared_l2
0.0443 %	0.05073 %	0.049973 %	0.0501515 %	|	0.0504 %	0.0506 %	0.05131 %	0.0508 %	0.05152 %	0.050281 %	1095985.450744629
8000	24	256	|	576	-1	squared_l2
0.0443 %	0.05073 %	0.049974 %	0.0501576 %	|	0.0504 %	0.0506 %	0.05131 %	0.0508 %	0.05152 %	0.050282 %	1221522.6221084595
8000	24	256	|	640	-1	squared_l2
0.0443 %	0.05073 %	0.049977 %	0.050162 %	|	0.0504 %	0.0506 %	0.05131 %	0.0508 %	0.05152 %	0.050285 %	1350894.9708938599
8000	24	256	|	704	-1	squared_l2
0.0443 %	0.05073 %	0.049979 %	0.0501648 %	|	0.0504 %	0.0506 %	0.05131 %	0.0508 %	0.05152 %	0.050287 %	1466133.6278915405
8000	24	256	|	768	-1	squared_l2
0.0443 %	0.05073 %	0.049979 %	0.0501666 %	|	0.0504 %	0.0506 %	0.05131 %	0.0508 %	0.05152 %	0.050287 %	1590977.5304794312
8000	24	256	|	1024	-1	squared_l2
0.0443 %	0.05073 %	0.049979 %	0.0501707 %	|	0.0504 %	0.0506 %	0.05131 %	0.0508 %	0.05152 %	0.050287 %	2084818.7398910522
8000	12	256	|	1	-1	squared_l2
0.0191 %	0.02142 %	0.019959 %	0.0178277 %	|	0.0255 %	0.0268 %	0.02391 %	0.0272 %	0.02431 %	0.020801 %	14519.872665405273
8000	12	256	|	16	-1	squared_l2
0.029 %	0.03838 %	0.041503 %	0.042949 %	|	0.0442 %	0.0479 %	0.04741 %	0.0487 %	0.04846 %	0.046032 %	37049.06463623047
8000	12	256	|	32	-1	squared_l2
0.0293 %	0.0392 %	0.042945 %	0.0453909 %	|	0.0453 %	0.0494 %	0.049 %	0.0502 %	0.05019 %	0.048226 %	58238.5778427124
8000	12	256	|	64	-1	squared_l2
0.0293 %	0.03944 %	0.043518 %	0.0465858 %	|	0.0454 %	0.0496 %	0.04956 %	0.0504 %	0.05091 %	0.049276 %	98893.63288879395
8000	12	256	|	128	-1	squared_l2
0.0293 %	0.03945 %	0.043674 %	0.0470536 %	|	0.0454 %	0.0496 %	0.0497 %	0.0504 %	0.05118 %	0.049668 %	176653.7857055664
8000	12	256	|	256	-1	squared_l2
0.0293 %	0.03949 %	0.043714 %	0.047188 %	|	0.0454 %	0.0499 %	0.0498 %	0.0507 %	0.05132 %	0.049806 %	324545.72677612305
8000	12	256	|	320	-1	squared_l2
0.0293 %	0.03949 %	0.043716 %	0.0472034 %	|	0.0454 %	0.0499 %	0.04981 %	0.0507 %	0.05132 %	0.049822 %	396946.0964202881
8000	12	256	|	384	-1	squared_l2
0.0293 %	0.03949 %	0.043718 %	0.0472111 %	|	0.0454 %	0.0499 %	0.04982 %	0.0507 %	0.05133 %	0.04983 %	468305.5830001831
8000	12	256	|	448	-1	squared_l2
