Program: faiss Topk: 1000 Num_split: 20 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.0363 %	0.04689 %	0.04868 %	0.0497839 %	|	0.0485 %	0.0498 %	0.04989 %	0.0498 %	0.04998 %	0.049785 %	903457.5319290161
7000	16	256	|	576	-1	squared_l2
0.0363 %	0.04689 %	0.048681 %	0.0497868 %	|	0.0485 %	0.0498 %	0.04989 %	0.0498 %	0.04998 %	0.049786 %	1013887.5770568848
7000	16	256	|	640	-1	squared_l2
0.0363 %	0.04689 %	0.048682 %	0.0497882 %	|	0.0485 %	0.0498 %	0.0499 %	0.0498 %	0.04999 %	0.049788 %	1119252.6817321777
7000	16	256	|	704	-1	squared_l2
0.0363 %	0.04689 %	0.048683 %	0.0497894 %	|	0.0485 %	0.0498 %	0.0499 %	0.0498 %	0.04999 %	0.049789 %	1220649.676322937
7000	16	256	|	768	-1	squared_l2
0.0363 %	0.04689 %	0.048683 %	0.0497898 %	|	0.0485 %	0.0498 %	0.0499 %	0.0498 %	0.04999 %	0.049789 %	1320031.8336486816
7000	16	256	|	1024	-1	squared_l2
0.0363 %	0.04689 %	0.048683 %	0.0497905 %	|	0.0485 %	0.0498 %	0.0499 %	0.0498 %	0.04999 %	0.049789 %	1735745.5682754517
8000	128	256	|	1	-1	squared_l2
0.0222 %	0.02051 %	0.018404 %	0.0156238 %	|	0.0222 %	0.0222 %	0.02051 %	0.0222 %	0.02051 %	0.018404 %	34312.39128112793
8000	128	256	|	16	-1	squared_l2
0.0464 %	0.04641 %	0.044661 %	0.0426172 %	|	0.0469 %	0.0469 %	0.04641 %	0.0469 %	0.04641 %	0.044661 %	273948.13537597656
8000	128	256	|	32	-1	squared_l2
0.0481 %	0.04859 %	0.047515 %	0.0464113 %	|	0.0486 %	0.0486 %	0.04859 %	0.0486 %	0.04859 %	0.047515 %	510081.7918777466
8000	128	256	|	64	-1	squared_l2
0.0492 %	0.0496 %	0.048977 %	0.0486234 %	|	0.0497 %	0.0497 %	0.0496 %	0.0497 %	0.0496 %	0.048977 %	954997.2677230835
8000	128	256	|	128	-1	squared_l2
0.0493 %	0.04991 %	0.049567 %	0.0496626 %	|	0.0498 %	0.0498 %	0.04991 %	0.0498 %	0.04991 %	0.049567 %	1811566.6961669922
8000	128	256	|	256	-1	squared_l2
0.0493 %	0.04998 %	0.049752 %	0.0500318 %	|	0.0498 %	0.0498 %	0.04998 %	0.0498 %	0.04998 %	0.049752 %	3445359.9405288696
8000	128	256	|	320	-1	squared_l2
0.0493 %	0.04998 %	0.049771 %	0.0500773 %	|	0.0498 %	0.0498 %	0.04998 %	0.0498 %	0.04998 %	0.049771 %	4230362.5774383545
8000	128	256	|	384	-1	squared_l2
0.0493 %	0.04998 %	0.049784 %	0.0501007 %	|	0.0498 %	0.0498 %	0.04998 %	0.0498 %	0.04998 %	0.049784 %	5030515.580177307
8000	128	256	|	448	-1	squared_l2
0.0493 %	0.04998 %	0.049785 %	0.0501138 %	|	0.0498 %	0.0498 %	0.04998 %	0.0498 %	0.04998 %	0.049785 %	5792459.402084351
8000	128	256	|	512	-1	squared_l2
0.0493 %	0.04998 %	0.049785 %	0.0501211 %	|	0.0498 %	0.0498 %	0.04998 %	0.0498 %	0.04998 %	0.049785 %	6572562.189102173
8000	128	256	|	576	-1	squared_l2
0.0493 %	0.04998 %	0.049788 %	0.0501264 %	|	0.0498 %	0.0498 %	0.04998 %	0.0498 %	0.04998 %	0.049788 %	7355298.018455505
8000	128	256	|	640	-1	squared_l2
0.0493 %	0.04998 %	0.049791 %	0.0501294 %	|	0.0498 %	0.0498 %	0.04998 %	0.0498 %	0.04998 %	0.049791 %	8115429.401397705
8000	128	256	|	704	-1	squared_l2
0.0493 %	0.04999 %	0.049792 %	0.0501314 %	|	0.0498 %	0.0498 %	0.04999 %	0.0498 %	0.04999 %	0.049792 %	8860061.583518982
8000	128	256	|	768	-1	squared_l2
