Program: scann Topk: 1000 Num_split: 1 Batch: 1
L	Threashold	m	|	w	r	Metric
0.05 %	0.128 %	0.2344 %	0.36202 %	|	0.29 %	0.67 %	0.459 %	0.89 %	0.832 %	0.6588 %	7486.6533279418945
4000	0.2	32	|	400	-1	squared_l2
0.05 %	0.128 %	0.2341 %	0.35986 %	|	0.29 %	0.67 %	0.455 %	0.89 %	0.828 %	0.6561 %	8729.982376098633
4000	0.2	32	|	500	-1	squared_l2
0.05 %	0.128 %	0.2336 %	0.35822 %	|	0.29 %	0.67 %	0.455 %	0.88 %	0.823 %	0.6547 %	9952.974319458008
4000	0.2	32	|	800	-1	squared_l2
0.05 %	0.127 %	0.233 %	0.35544 %	|	0.29 %	0.67 %	0.454 %	0.88 %	0.82 %	0.6496 %	13506.293296813965
4000	0.2	32	|	1000	-1	squared_l2
0.05 %	0.127 %	0.233 %	0.35484 %	|	0.29 %	0.67 %	0.454 %	0.88 %	0.82 %	0.6485 %	15823.602676391602
4000	0.2	32	|	1250	-1	squared_l2
0.05 %	0.128 %	0.2327 %	0.3542 %	|	0.29 %	0.67 %	0.454 %	0.88 %	0.819 %	0.6473 %	18710.923194885254
4000	0.2	32	|	1500	-1	squared_l2
0.05 %	0.128 %	0.2327 %	0.35397 %	|	0.29 %	0.67 %	0.454 %	0.88 %	0.819 %	0.6468 %	21655.917167663574
4000	0.2	32	|	1750	-1	squared_l2
0.05 %	0.128 %	0.2325 %	0.35371 %	|	0.29 %	0.67 %	0.454 %	0.88 %	0.819 %	0.6467 %	24444.198608398438
4000	0.2	32	|	1900	-1	squared_l2
0.05 %	0.128 %	0.2325 %	0.35366 %	|	0.29 %	0.67 %	0.454 %	0.88 %	0.819 %	0.6467 %	25913.453102111816
4000	0.2	32	|	2000	-1	squared_l2
0.05 %	0.128 %	0.2325 %	0.35358 %	|	0.29 %	0.67 %	0.454 %	0.88 %	0.819 %	0.6467 %	27167.439460754395
4000	0.2	32	|	2048	-1	squared_l2
0.05 %	0.128 %	0.2325 %	0.35356 %	|	0.29 %	0.67 %	0.454 %	0.88 %	0.819 %	0.6467 %	27349.209785461426
4000	0.2	16	|	1	-1	squared_l2
0.0 %	0.051 %	0.1147 %	0.08049 %	|	0.09 %	0.25 %	0.185 %	0.28 %	0.22 %	0.1599 %	2037.644386291504
4000	0.2	16	|	2	-1	squared_l2
0.0 %	0.059 %	0.1414 %	0.13655 %	|	0.13 %	0.34 %	0.26 %	0.43 %	0.356 %	0.2586 %	2189.8746490478516
4000	0.2	16	|	4	-1	squared_l2
0.02 %	0.058 %	0.1584 %	0.21483 %	|	0.12 %	0.37 %	0.281 %	0.58 %	0.49 %	0.3803 %	2462.649345397949
4000	0.2	16	|	8	-1	squared_l2
0.02 %	0.049 %	0.1583 %	0.28004 %	|	0.11 %	0.39 %	0.273 %	0.66 %	0.615 %	0.4912 %	2730.4649353027344
4000	0.2	16	|	16	-1	squared_l2
0.04 %	0.055 %	0.1491 %	0.29708 %	|	0.1 %	0.36 %	0.257 %	0.71 %	0.655 %	0.53 %	2972.722053527832
4000	0.2	16	|	25	-1	squared_l2
0.04 %	0.055 %	0.1368 %	0.29223 %	|	0.1 %	0.34 %	0.243 %	0.74 %	0.664 %	0.5215 %	3228.5690307617188
4000	0.2	16	|	30	-1	squared_l2
0.03 %	0.058 %	0.1325 %	0.28855 %	|	0.11 %	0.34 %	0.235 %	0.73 %	0.663 %	0.5158 %	3293.3950424194336
4000	0.2	16	|	35	-1	squared_l2
0.03 %	0.059 %	0.1312 %	0.28471 %	|	0.12 %	0.35 %	0.233 %	0.74 %	0.66 %	0.5092 %	3440.999984741211
4000	0.2	16	|	40	-1	squared_l2
0.03 %	0.057 %	0.1288 %	0.28081 %	|	0.12 %	0.33 %	0.228 %	0.73 %	0.663 %	0.5028 %	3513.2884979248047
4000	0.2	16	|	45	-1	squared_l2
