Program: faiss Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.418 %	0.5204 %	0.58667 %	0.645692 %	|	0.868 %	0.993 %	0.9564 %	1.0 %	0.9994 %	0.98632 %	6275.6688594818115
1000	32	256	|	512	-1	squared_l2
0.418 %	0.5204 %	0.58669 %	0.645783 %	|	0.868 %	0.993 %	0.9565 %	1.0 %	0.9997 %	0.98672 %	12213.010549545288
1000	64	256	|	1	-1	squared_l2
0.344 %	0.3511 %	0.28784 %	0.183774 %	|	0.43 %	0.431 %	0.3703 %	0.431 %	0.3703 %	0.29117 %	109.5280647277832
1000	64	256	|	2	-1	squared_l2
0.466 %	0.4877 %	0.42768 %	0.298085 %	|	0.594 %	0.595 %	0.5321 %	0.595 %	0.5321 %	0.43874 %	144.8817253112793
1000	64	256	|	4	-1	squared_l2
0.553 %	0.6014 %	0.5665 %	0.441293 %	|	0.729 %	0.732 %	0.6906 %	0.732 %	0.6906 %	0.59974 %	238.41500282287598
1000	64	256	|	8	-1	squared_l2
0.609 %	0.6804 %	0.67621 %	0.58903 %	|	0.838 %	0.842 %	0.8184 %	0.842 %	0.8184 %	0.74572 %	426.4364242553711
1000	64	256	|	16	-1	squared_l2
0.646 %	0.723 %	0.74525 %	0.707652 %	|	0.922 %	0.927 %	0.9067 %	0.927 %	0.9067 %	0.85855 %	795.5327033996582
1000	64	256	|	32	-1	squared_l2
0.668 %	0.7441 %	0.78289 %	0.783473 %	|	0.966 %	0.972 %	0.9606 %	0.972 %	0.9607 %	0.93599 %	1493.0109977722168
1000	64	256	|	64	-1	squared_l2
0.673 %	0.7529 %	0.79835 %	0.821127 %	|	0.982 %	0.989 %	0.9862 %	0.989 %	0.9864 %	0.97671 %	2842.695951461792
1000	64	256	|	128	-1	squared_l2
0.676 %	0.7568 %	0.80375 %	0.83583 %	|	0.989 %	0.996 %	0.9968 %	0.996 %	0.997 %	0.99391 %	5478.760242462158
1000	64	256	|	192	-1	squared_l2
0.676 %	0.7575 %	0.80477 %	0.839097 %	|	0.992 %	0.999 %	0.999 %	0.999 %	0.9992 %	0.99773 %	8057.200908660889
1000	64	256	|	256	-1	squared_l2
0.677 %	0.7578 %	0.80502 %	0.840067 %	|	0.993 %	1.0 %	0.9994 %	1.0 %	0.9996 %	0.99892 %	10687.01434135437
1000	64	256	|	512	-1	squared_l2
0.677 %	0.758 %	0.80517 %	0.840785 %	|	0.993 %	1.0 %	0.9998 %	1.0 %	1.0 %	0.99999 %	21164.241313934326
1000	128	256	|	1	-1	squared_l2
0.411 %	0.3672 %	0.29092 %	0.183831 %	|	0.431 %	0.431 %	0.3703 %	0.431 %	0.3703 %	0.29117 %	140.91086387634277
1000	128	256	|	2	-1	squared_l2
0.56 %	0.5251 %	0.43808 %	0.298281 %	|	0.595 %	0.595 %	0.5321 %	0.595 %	0.5321 %	0.43874 %	209.95759963989258
1000	128	256	|	4	-1	squared_l2
0.678 %	0.6736 %	0.59671 %	0.443847 %	|	0.732 %	0.732 %	0.6906 %	0.732 %	0.6906 %	0.59974 %	373.5787868499756
1000	128	256	|	8	-1	squared_l2
0.77 %	0.7864 %	0.7368 %	0.602726 %	|	0.842 %	0.842 %	0.8184 %	0.842 %	0.8184 %	0.74572 %	692.7332878112793
1000	128	256	|	16	-1	squared_l2
0.843 %	0.8562 %	0.83961 %	0.746321 %	|	0.927 %	0.927 %	0.9067 %	0.927 %	0.9067 %	0.85855 %	1314.5477771759033
1000	128	256	|	32	-1	squared_l2
0.876 %	0.8975 %	0.9029 %	0.85578 %	|	0.972 %	0.972 %	0.9607 %	0.972 %	0.9607 %	0.93599 %	2511.3272666931152
1000	128	256	|	64	-1	squared_l2
0.891 %	0.9141 %	0.93098 %	0.919728 %	|	0.989 %	0.989 %	0.9864 %	0.989 %	0.9864 %	0.97671 %	4793.664932250977
1000	128	256	|	128	-1	squared_l2
0.898 %	0.921 %	0.94088 %	0.946151 %	|	0.996 %	0.996 %	0.997 %	0.996 %	0.997 %	0.99391 %	9269.312143325806
1000	128	256	|	192	-1	squared_l2
0.9 %	0.9222 %	0.9426 %	0.95198 %	|	0.999 %	0.999 %	0.9992 %	0.999 %	0.9992 %	0.99773 %	13733.484029769897
1000	128	256	|	256	-1	squared_l2
0.901 %	0.9224 %	0.94314 %	0.953841 %	|	1.0 %	1.0 %	0.9996 %	1.0 %	0.9996 %	0.99892 %	18118.353366851807
1000	128	256	|	512	-1	squared_l2
0.901 %	0.9226 %	0.94362 %	0.955272 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.99999 %	34736.295223236084
1000	256	256	|	1	-1	squared_l2
