Program: scann Topk: 1000 Num_split: 1 Batch: 128
L	Threashold	m	|	w	r	Metric
0.022 %	0.0498 %	0.10925 %	0.229888 %	|	0.101 %	0.311 %	0.2068 %	0.64 %	0.556 %	0.40984 %	55.26471138000488
800	0.2	16	|	55	-1	squared_l2
0.022 %	0.0491 %	0.10851 %	0.22826 %	|	0.099 %	0.306 %	0.2059 %	0.639 %	0.5532 %	0.40723 %	70.34921646118164
800	0.2	16	|	60	-1	squared_l2
0.022 %	0.0492 %	0.10812 %	0.226918 %	|	0.099 %	0.306 %	0.2053 %	0.638 %	0.5508 %	0.40498 %	67.04998016357422
800	0.2	16	|	65	-1	squared_l2
0.022 %	0.0491 %	0.10778 %	0.225677 %	|	0.099 %	0.304 %	0.2041 %	0.634 %	0.549 %	0.40284 %	57.97243118286133
800	0.2	16	|	75	-1	squared_l2
0.022 %	0.0491 %	0.10722 %	0.224117 %	|	0.099 %	0.303 %	0.2037 %	0.63 %	0.5458 %	0.40019 %	67.61527061462402
800	0.2	16	|	90	-1	squared_l2
0.022 %	0.0488 %	0.10654 %	0.222298 %	|	0.098 %	0.301 %	0.2029 %	0.627 %	0.5424 %	0.3969 %	63.098907470703125
800	0.2	16	|	110	-1	squared_l2
0.022 %	0.0485 %	0.10583 %	0.220131 %	|	0.098 %	0.297 %	0.2016 %	0.624 %	0.5378 %	0.39377 %	86.0440731048584
800	0.2	16	|	130	-1	squared_l2
0.022 %	0.0485 %	0.1055 %	0.219083 %	|	0.098 %	0.297 %	0.201 %	0.625 %	0.5356 %	0.39221 %	94.0401554107666
800	0.2	16	|	150	-1	squared_l2
0.022 %	0.0485 %	0.10528 %	0.218192 %	|	0.098 %	0.296 %	0.2004 %	0.623 %	0.5344 %	0.39073 %	100.52108764648438
800	0.2	16	|	170	-1	squared_l2
0.022 %	0.0485 %	0.10514 %	0.217532 %	|	0.098 %	0.296 %	0.2001 %	0.622 %	0.5334 %	0.38977 %	107.33795166015625
800	0.2	16	|	200	-1	squared_l2
0.022 %	0.0484 %	0.10507 %	0.216923 %	|	0.098 %	0.296 %	0.2 %	0.62 %	0.5323 %	0.38896 %	82.63754844665527
800	0.2	16	|	220	-1	squared_l2
0.022 %	0.0484 %	0.10493 %	0.216651 %	|	0.098 %	0.296 %	0.2 %	0.62 %	0.5315 %	0.38842 %	108.22844505310059
800	0.2	16	|	250	-1	squared_l2
0.022 %	0.0483 %	0.10488 %	0.216312 %	|	0.098 %	0.296 %	0.1998 %	0.619 %	0.5311 %	0.388 %	121.10352516174316
