Program: scann Topk: 1000 Num_split: 1 Batch: 1
L	Threashold	m	|	w	r	Metric
0.35 %	0.348 %	0.3784 %	0.31746 %	|	0.64 %	0.71 %	0.602 %	0.71 %	0.62 %	0.4998 %	1923.4657287597656
4000	0.2	32	|	16	-1	squared_l2
0.37 %	0.39 %	0.4384 %	0.43778 %	|	0.75 %	0.86 %	0.722 %	0.86 %	0.759 %	0.6566 %	2188.277244567871
4000	0.2	32	|	25	-1	squared_l2
0.38 %	0.414 %	0.4664 %	0.49962 %	|	0.78 %	0.91 %	0.795 %	0.91 %	0.854 %	0.7523 %	2424.62158203125
4000	0.2	32	|	30	-1	squared_l2
0.38 %	0.418 %	0.4745 %	0.51815 %	|	0.8 %	0.94 %	0.814 %	0.94 %	0.88 %	0.7821 %	2499.556541442871
4000	0.2	32	|	35	-1	squared_l2
0.38 %	0.423 %	0.4797 %	0.53219 %	|	0.8 %	0.94 %	0.825 %	0.94 %	0.899 %	0.8088 %	2604.5799255371094
4000	0.2	32	|	40	-1	squared_l2
0.38 %	0.422 %	0.4864 %	0.54306 %	|	0.8 %	0.95 %	0.833 %	0.95 %	0.911 %	0.8298 %	2692.6279067993164
4000	0.2	32	|	45	-1	squared_l2
0.39 %	0.42 %	0.4902 %	0.55126 %	|	0.81 %	0.95 %	0.843 %	0.96 %	0.924 %	0.8442 %	2786.898612976074
4000	0.2	32	|	50	-1	squared_l2
0.39 %	0.424 %	0.4944 %	0.55803 %	|	0.81 %	0.95 %	0.858 %	0.96 %	0.939 %	0.857 %	2863.8839721679688
4000	0.2	32	|	55	-1	squared_l2
0.39 %	0.423 %	0.497 %	0.5641 %	|	0.82 %	0.96 %	0.865 %	0.97 %	0.948 %	0.8701 %	2961.444854736328
4000	0.2	32	|	60	-1	squared_l2
0.39 %	0.423 %	0.4975 %	0.57023 %	|	0.82 %	0.96 %	0.87 %	0.97 %	0.956 %	0.8809 %	3018.045425415039
4000	0.2	32	|	65	-1	squared_l2
0.39 %	0.423 %	0.4986 %	0.57514 %	|	0.83 %	0.97 %	0.871 %	0.98 %	0.96 %	0.889 %	3105.6642532348633
4000	0.2	32	|	75	-1	squared_l2
0.39 %	0.423 %	0.5022 %	0.58103 %	|	0.83 %	0.98 %	0.877 %	0.99 %	0.969 %	0.9031 %	3226.923942565918
4000	0.2	32	|	90	-1	squared_l2
0.38 %	0.425 %	0.5013 %	0.58879 %	|	0.83 %	0.97 %	0.877 %	0.99 %	0.977 %	0.9176 %	3498.196601867676
4000	0.2	32	|	110	-1	squared_l2
0.38 %	0.424 %	0.5022 %	0.59386 %	|	0.83 %	0.96 %	0.88 %	0.99 %	0.985 %	0.9299 %	3730.0825119018555
4000	0.2	32	|	130	-1	squared_l2
0.38 %	0.424 %	0.5033 %	0.59794 %	|	0.83 %	0.96 %	0.884 %	0.99 %	0.989 %	0.9371 %	4034.44766998291
4000	0.2	32	|	150	-1	squared_l2
0.39 %	0.421 %	0.5028 %	0.60052 %	|	0.84 %	0.97 %	0.884 %	1.0 %	0.991 %	0.9425 %	4258.251190185547
4000	0.2	32	|	170	-1	squared_l2
0.39 %	0.42 %	0.5035 %	0.60182 %	|	0.84 %	0.97 %	0.883 %	1.0 %	0.992 %	0.9472 %	4538.0353927612305
4000	0.2	32	|	200	-1	squared_l2
0.39 %	0.421 %	0.5035 %	0.60346 %	|	0.84 %	0.97 %	0.882 %	1.0 %	0.993 %	0.9521 %	4850.983619689941
4000	0.2	32	|	220	-1	squared_l2
0.39 %	0.421 %	0.5033 %	0.60421 %	|	0.84 %	0.97 %	0.881 %	1.0 %	0.994 %	0.9532 %	5161.023139953613
4000	0.2	32	|	250	-1	squared_l2
0.39 %	0.419 %	0.5027 %	0.6047 %	|	0.84 %	0.97 %	0.881 %	1.0 %	0.995 %	0.9544 %	5431.962013244629
4000	0.2	32	|	310	-1	squared_l2
0.39 %	0.419 %	0.502 %	0.60555 %	|	0.84 %	0.97 %	0.877 %	1.0 %	0.996 %	0.9549 %	6126.999855041504
4000	0.2	32	|	400	-1	squared_l2
0.39 %	0.419 %	0.5019 %	0.60503 %	|	0.84 %	0.97 %	0.877 %	1.0 %	0.996 %	0.956 %	7151.579856872559
4000	0.2	32	|	500	-1	squared_l2
0.39 %	0.419 %	0.502 %	0.60466 %	|	0.84 %	0.97 %	0.877 %	1.0 %	0.996 %	0.9562 %	8284.783363342285
4000	0.2	32	|	800	-1	squared_l2
0.39 %	0.419 %	0.501 %	0.6042 %	|	0.84 %	0.97 %	0.876 %	1.0 %	0.996 %	0.956 %	11367.964744567871
4000	0.2	32	|	1000	-1	squared_l2
0.39 %	0.419 %	0.501 %	0.60408 %	|	0.84 %	0.97 %	0.876 %	1.0 %	0.996 %	0.956 %	13312.959671020508
4000	0.2	32	|	1250	-1	squared_l2
0.39 %	0.419 %	0.501 %	0.60403 %	|	0.84 %	0.97 %	0.876 %	1.0 %	0.996 %	0.956 %	15797.162055969238
4000	0.2	32	|	1500	-1	squared_l2
0.39 %	0.419 %	0.501 %	0.60403 %	|	0.84 %	0.97 %	0.876 %	1.0 %	0.996 %	0.956 %	18505.406379699707
4000	0.2	32	|	1750	-1	squared_l2
0.39 %	0.419 %	0.501 %	0.60403 %	|	0.84 %	0.97 %	0.876 %	1.0 %	0.996 %	0.956 %	20952.749252319336
4000	0.2	32	|	1900	-1	squared_l2
0.39 %	0.419 %	0.501 %	0.60403 %	|	0.84 %	0.97 %	0.876 %	1.0 %	0.996 %	0.956 %	22555.184364318848
4000	0.2	32	|	2000	-1	squared_l2
0.39 %	0.419 %	0.501 %	0.60403 %	|	0.84 %	0.97 %	0.876 %	1.0 %	0.996 %	0.956 %	23420.047760009766
4000	0.2	32	|	2048	-1	squared_l2
0.39 %	0.419 %	0.501 %	0.60403 %	|	0.84 %	0.97 %	0.876 %	1.0 %	0.996 %	0.956 %	23849.22504425049
4000	0.2	16	|	1	-1	squared_l2
0.09 %	0.11 %	0.1043 %	0.06966 %	|	0.22 %	0.27 %	0.18 %	0.28 %	0.186 %	0.1235 %	1412.2247695922852
4000	0.2	16	|	2	-1	squared_l2
0.14 %	0.178 %	0.17 %	0.11618 %	|	0.27 %	0.33 %	0.301 %	0.34 %	0.31 %	0.2053 %	1523.8523483276367
4000	0.2	16	|	4	-1	squared_l2
0.19 %	0.229 %	0.2368 %	0.19785 %	|	0.4 %	0.54 %	0.432 %	0.55 %	0.461 %	0.3284 %	1713.2759094238281
4000	0.2	16	|	8	-1	squared_l2
0.23 %	0.254 %	0.2885 %	0.28511 %	|	0.5 %	0.7 %	0.533 %	0.72 %	0.599 %	0.4572 %	1933.9323043823242
4000	0.2	16	|	16	-1	squared_l2
