Program: scann Topk: 1000 Num_split: 1 Batch: 1
L	Threashold	m	|	w	r	Metric
0.18 %	0.304 %	0.4723 %	0.57045 %	|	0.48 %	0.7 %	0.693 %	0.82 %	0.846 %	0.7979 %	3225.1596450805664
4000	0.2	25	|	400	-1	dot_product
0.18 %	0.305 %	0.473 %	0.57154 %	|	0.48 %	0.7 %	0.694 %	0.83 %	0.851 %	0.8042 %	3833.0078125
4000	0.2	25	|	500	-1	dot_product
0.18 %	0.308 %	0.475 %	0.57272 %	|	0.5 %	0.72 %	0.7 %	0.85 %	0.862 %	0.81 %	4548.168182373047
4000	0.2	25	|	800	-1	dot_product
0.18 %	0.309 %	0.479 %	0.57452 %	|	0.5 %	0.74 %	0.709 %	0.88 %	0.874 %	0.8216 %	6572.747230529785
4000	0.2	25	|	1000	-1	dot_product
0.18 %	0.309 %	0.4808 %	0.57581 %	|	0.5 %	0.74 %	0.714 %	0.89 %	0.883 %	0.8291 %	8004.3792724609375
4000	0.2	25	|	1250	-1	dot_product
0.18 %	0.309 %	0.4829 %	0.57707 %	|	0.5 %	0.74 %	0.717 %	0.89 %	0.892 %	0.8373 %	9945.72639465332
4000	0.2	25	|	1500	-1	dot_product
0.18 %	0.31 %	0.4833 %	0.57782 %	|	0.5 %	0.74 %	0.719 %	0.89 %	0.898 %	0.8407 %	11727.85758972168
4000	0.2	25	|	1750	-1	dot_product
0.18 %	0.31 %	0.4839 %	0.57848 %	|	0.5 %	0.74 %	0.721 %	0.89 %	0.9 %	0.8445 %	13440.918922424316
4000	0.2	25	|	1900	-1	dot_product
0.18 %	0.31 %	0.4846 %	0.57883 %	|	0.5 %	0.74 %	0.721 %	0.89 %	0.902 %	0.8476 %	14516.067504882812
4000	0.2	25	|	2000	-1	dot_product
0.18 %	0.31 %	0.485 %	0.57912 %	|	0.5 %	0.74 %	0.722 %	0.89 %	0.903 %	0.8494 %	15178.370475769043
4000	0.2	25	|	2048	-1	dot_product
0.18 %	0.31 %	0.4851 %	0.57923 %	|	0.5 %	0.74 %	0.723 %	0.89 %	0.904 %	0.8499 %	15501.689910888672
4000	0.2	20	|	1	-1	dot_product
0.11 %	0.126 %	0.1837 %	0.12454 %	|	0.2 %	0.23 %	0.214 %	0.23 %	0.217 %	0.2019 %	968.8138961791992
4000	0.2	20	|	2	-1	dot_product
0.08 %	0.177 %	0.2656 %	0.19719 %	|	0.28 %	0.34 %	0.345 %	0.34 %	0.359 %	0.3187 %	1049.7570037841797
4000	0.2	20	|	4	-1	dot_product
0.08 %	0.208 %	0.338 %	0.31196 %	|	0.32 %	0.44 %	0.436 %	0.46 %	0.469 %	0.4509 %	1212.4061584472656
4000	0.2	20	|	8	-1	dot_product
0.08 %	0.232 %	0.3868 %	0.42554 %	|	0.38 %	0.56 %	0.522 %	0.6 %	0.583 %	0.574 %	1350.6412506103516
4000	0.2	20	|	16	-1	dot_product
0.08 %	0.239 %	0.4054 %	0.48607 %	|	0.41 %	0.6 %	0.555 %	0.65 %	0.654 %	0.6507 %	1433.706283569336
4000	0.2	20	|	25	-1	dot_product
0.08 %	0.246 %	0.4168 %	0.49991 %	|	0.42 %	0.61 %	0.58 %	0.67 %	0.688 %	0.6824 %	1499.4382858276367
4000	0.2	20	|	30	-1	dot_product
0.09 %	0.249 %	0.4185 %	0.50484 %	|	0.43 %	0.62 %	0.589 %	0.68 %	0.701 %	0.6915 %	1521.0390090942383
4000	0.2	20	|	35	-1	dot_product
0.09 %	0.25 %	0.4196 %	0.50665 %	|	0.43 %	0.63 %	0.592 %	0.69 %	0.708 %	0.697 %	1559.281349182129
4000	0.2	20	|	40	-1	dot_product
0.09 %	0.251 %	0.421 %	0.50933 %	|	0.43 %	0.64 %	0.595 %	0.7 %	0.719 %	0.7046 %	1583.719253540039
4000	0.2	20	|	45	-1	dot_product
0.09 %	0.251 %	0.4227 %	0.51103 %	|	0.43 %	0.65 %	0.597 %	0.71 %	0.725 %	0.7144 %	1613.3785247802734
4000	0.2	20	|	50	-1	dot_product
0.09 %	0.252 %	0.424 %	0.51227 %	|	0.43 %	0.65 %	0.605 %	0.71 %	0.737 %	0.7216 %	1636.6243362426758
4000	0.2	20	|	55	-1	dot_product
