Program: faiss Topk: 1000 Num_split: 1 Batch: 1
L	m	k_star	|	w	Reorder	Metric
1000	32	64	|	640	-1	squared_l2
0.36 %	0.412 %	0.4715 %	0.54166 %	|	0.79 %	0.96 %	0.877 %	0.99 %	0.994 %	0.935 %	920213.8423919678
1000	32	64	|	704	-1	squared_l2
0.36 %	0.412 %	0.4715 %	0.54166 %	|	0.79 %	0.96 %	0.877 %	0.99 %	0.994 %	0.935 %	1014960.4797363281
1000	32	64	|	768	-1	squared_l2
0.36 %	0.412 %	0.4715 %	0.54166 %	|	0.79 %	0.96 %	0.877 %	0.99 %	0.994 %	0.935 %	1109809.5178604126
1000	64	64	|	1	-1	squared_l2
0.34 %	0.351 %	0.2801 %	0.18096 %	|	0.45 %	0.46 %	0.388 %	0.46 %	0.388 %	0.2884 %	6810.116767883301
1000	64	64	|	16	-1	squared_l2
0.55 %	0.609 %	0.6578 %	0.64349 %	|	0.88 %	0.9 %	0.884 %	0.9 %	0.886 %	0.8401 %	48144.24514770508
1000	64	64	|	32	-1	squared_l2
0.58 %	0.624 %	0.6841 %	0.70166 %	|	0.91 %	0.95 %	0.943 %	0.95 %	0.945 %	0.9234 %	91702.77118682861
1000	64	64	|	64	-1	squared_l2
0.58 %	0.629 %	0.6952 %	0.72971 %	|	0.93 %	0.98 %	0.974 %	0.98 %	0.978 %	0.9688 %	173622.4889755249
1000	64	64	|	128	-1	squared_l2
0.58 %	0.635 %	0.6997 %	0.74109 %	|	0.94 %	0.99 %	0.989 %	0.99 %	0.995 %	0.99 %	339258.83769989014
1000	64	64	|	256	-1	squared_l2
0.58 %	0.635 %	0.7006 %	0.74467 %	|	0.94 %	1.0 %	0.993 %	1.0 %	1.0 %	0.9966 %	667730.0930023193
1000	64	64	|	320	-1	squared_l2
0.58 %	0.635 %	0.7007 %	0.74498 %	|	0.94 %	1.0 %	0.993 %	1.0 %	1.0 %	0.9977 %	823512.1965408325
1000	64	64	|	384	-1	squared_l2
0.58 %	0.635 %	0.7007 %	0.74516 %	|	0.94 %	1.0 %	0.993 %	1.0 %	1.0 %	0.9979 %	981633.5201263428
1000	64	64	|	448	-1	squared_l2
0.58 %	0.635 %	0.7007 %	0.74518 %	|	0.94 %	1.0 %	0.993 %	1.0 %	1.0 %	0.9979 %	1137699.3656158447
1000	64	64	|	512	-1	squared_l2
0.58 %	0.635 %	0.7007 %	0.74522 %	|	0.94 %	1.0 %	0.993 %	1.0 %	1.0 %	0.998 %	1302787.42313385
1000	64	64	|	576	-1	squared_l2
0.58 %	0.635 %	0.7007 %	0.74522 %	|	0.94 %	1.0 %	0.993 %	1.0 %	1.0 %	0.998 %	1458297.2526550293
1000	64	64	|	640	-1	squared_l2
0.58 %	0.635 %	0.7007 %	0.74523 %	|	0.94 %	1.0 %	0.993 %	1.0 %	1.0 %	0.998 %	1613572.4782943726
1000	64	64	|	704	-1	squared_l2
0.58 %	0.635 %	0.7007 %	0.74523 %	|	0.94 %	1.0 %	0.993 %	1.0 %	1.0 %	0.998 %	1778927.3977279663
1000	64	64	|	768	-1	squared_l2
0.58 %	0.635 %	0.7007 %	0.74523 %	|	0.94 %	1.0 %	0.993 %	1.0 %	1.0 %	0.998 %	1951400.2799987793
1000	128	64	|	1	-1	squared_l2
0.35 %	0.379 %	0.2871 %	0.18101 %	|	0.46 %	0.46 %	0.388 %	0.46 %	0.388 %	0.2884 %	9627.556800842285
1000	128	64	|	16	-1	squared_l2
0.72 %	0.772 %	0.7951 %	0.71857 %	|	0.9 %	0.9 %	0.886 %	0.9 %	0.886 %	0.8401 %	87219.21443939209
1000	128	64	|	32	-1	squared_l2
0.75 %	0.808 %	0.8538 %	0.82081 %	|	0.95 %	0.95 %	0.945 %	0.95 %	0.945 %	0.9235 %	167586.49349212646
1000	128	64	|	64	-1	squared_l2
0.75 %	0.826 %	0.8796 %	0.87837 %	|	0.98 %	0.98 %	0.978 %	0.98 %	0.978 %	0.9692 %	326522.5887298584
1000	128	64	|	128	-1	squared_l2
